,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_réelle,surface_carrez,nb_pièces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
11397,2018-751118,2018-10-31,480000.0,Appartement,0.0,65.0,60.33,3.0,7956.0,7385.0,8.0,RUE CANNEBIERE,1490,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0076,2.398369,48.837943
11398,2018-751119,2018-11-06,280000.0,Appartement,0.0,34.0,37.29,2.0,7509.0,8235.0,4.0,IMP DELAUNAY,2663,75011.0,75111,Paris 11e Arrondissement,75,75111000BW0045,2.386271,48.85529
11400,2018-751120,2018-10-26,497000.0,Appartement,0.0,51.0,49.3,4.0,10081.0,9745.0,43.0,BD DE MENILMONTANT,6267,75011.0,75111,Paris 11e Arrondissement,75,75111000BP0020,2.388052,48.860819
11401,2018-751121,2018-11-06,273000.0,Appartement,0.0,30.0,,1.0,,9100.0,3.0,PAS BULLOURDE,1383,75011.0,75111,Paris 11e Arrondissement,75,75111000BY0083,2.376449,48.855352
11402,2018-751122,2018-11-15,209000.0,Appartement,0.0,21.0,,2.0,,9952.0,8.0,IMP SAINT SEBASTIEN,8754,75011.0,75111,Paris 11e Arrondissement,75,75111000BD0031,2.371238,48.861065
11404,2018-751124,2018-11-16,595000.0,Appartement,0.0,78.0,76.44,4.0,7784.0,7628.0,236.0,RUE DE CHARENTON,1794,75012.0,75112,Paris 12e Arrondissement,75,75112000DA0030,2.388524,48.839217
11406,2018-751126,2018-11-09,297000.0,Appartement,0.0,30.0,32.2,2.0,9224.0,9900.0,145.0,RUE DE CHARONNE,1888,75011.0,75111,Paris 11e Arrondissement,75,75111000BS0062,2.388058,48.855392
11408,2018-751128,2018-11-13,210000.0,Appartement,0.0,29.0,26.53,1.0,7916.0,7241.0,85.0,BD DE PICPUS,7401,75012.0,75112,Paris 12e Arrondissement,75,75112000CN0038,2.397956,48.847543
11409,2018-751129,2018-10-25,155000.0,Appartement,0.0,28.0,,2.0,,5536.0,127.0,RUE SAINT MAUR,8699,75011.0,75111,Paris 11e Arrondissement,75,75111000AL0021,2.37599,48.866844
11412,2018-751132,2018-11-13,1145500.0,Appartement,0.0,108.0,108.53,4.0,10555.0,10606.0,39.0,RUE DE POMMARD,7585,75012.0,75112,Paris 12e Arrondissement,75,75112000DZ0045,2.383304,48.836443
11414,2018-751133,2018-11-14,260000.0,Appartement,0.0,27.0,30.05,2.0,8652.0,9630.0,43.0,AV PHILIPPE AUGUSTE,7380,75011.0,75111,Paris 11e Arrondissement,75,75111000CR0183,2.393192,48.852171
11415,2018-751134,2018-11-07,5500.0,Appartement,0.0,12.0,,1.0,,458.0,14.0,RUE DE VAUCOULEURS,9617,75011.0,75111,Paris 11e Arrondissement,75,75111000AH0076,2.377907,48.869083
11417,2018-751136,2018-10-25,171500.0,Appartement,0.0,25.0,24.47,1.0,7009.0,6860.0,14.0,RUE DU COLONEL OUDOT,2213,75012.0,75112,Paris 12e Arrondissement,75,75112000AX0044,2.406971,48.836749
11419,2018-751138,2018-10-27,222830.0,Appartement,0.0,23.0,23.17,1.0,9617.0,9688.0,53.0,RUE CLAUDE DECAEN,2076,75012.0,75112,Paris 12e Arrondissement,75,75112000BP0002,2.398487,48.836472
11420,2018-751139,2018-10-27,229245.0,Appartement,0.0,24.0,23.75,1.0,9652.0,9552.0,53.0,RUE CLAUDE DECAEN,2076,75012.0,75112,Paris 12e Arrondissement,75,75112000BP0002,2.398487,48.836472
11422,2018-751141,2018-11-08,230741.0,Appartement,0.0,40.0,39.9,2.0,5783.0,5769.0,20.0,RUE DE LA FOLIE MERICOURT,3700,75011.0,75111,Paris 11e Arrondissement,75,75111000BA0008,2.374282,48.862672
11423,2018-751141,2018-11-08,207667.0,Appartement,0.0,36.0,39.71,2.0,5230.0,5769.0,20.0,RUE DE LA FOLIE MERICOURT,3700,75011.0,75111,Paris 11e Arrondissement,75,75111000BA0008,2.374282,48.862672
11424,2018-751141,2018-11-08,184593.0,Appartement,0.0,32.0,,2.0,,5769.0,20.0,RUE DE LA FOLIE MERICOURT,3700,75011.0,75111,Paris 11e Arrondissement,75,75111000BA0008,2.374282,48.862672
11426,2018-751142,2018-10-31,445000.0,Appartement,0.0,44.0,,2.0,,10114.0,10.0,BD BEAUMARCHAIS,0783,75011.0,75111,Paris 11e Arrondissement,75,75111000CB0034,2.369168,48.85494
11428,2018-751143,2018-11-08,722400.0,Appartement,0.0,72.0,71.75,3.0,10068.0,10033.0,29.0,RUE DES BOULETS,1170,75011.0,75111,Paris 11e Arrondissement,75,75111000CT0107,2.389045,48.851277
11429,2018-751144,2018-11-09,7977.0,Appartement,0.0,140.0,,6.0,,57.0,6.0,PL LEON BLUM,5527,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0090,2.380914,48.858387
11430,2018-751145,2018-10-25,320000.0,Appartement,0.0,30.0,31.6,2.0,10127.0,10667.0,33.0,AV PHILIPPE AUGUSTE,7380,75011.0,75111,Paris 11e Arrondissement,75,75111000CR0201,2.393221,48.85143
11431,2018-751146,2018-10-29,170000.0,Appartement,0.0,23.0,20.88,1.0,8142.0,7391.0,6.0,RUE DU MARCHE POPINCOURT,6029,75011.0,75111,Paris 11e Arrondissement,75,75111000AR0048,2.373083,48.863914
11432,2018-751147,2018-11-15,237000.0,Appartement,0.0,25.0,25.49,1.0,9298.0,9480.0,7.0,IMP DES JARDINIERS,4826,75011.0,75111,Paris 11e Arrondissement,75,75111000CR0065,2.392114,48.852335
11433,2018-751148,2018-11-13,345000.0,Appartement,0.0,44.0,45.21,3.0,7631.0,7841.0,7.0,RUE DE LYON,5866,75012.0,75112,Paris 12e Arrondissement,75,75112000EM0037,2.371769,48.846339
11434,2018-751149,2018-11-13,480000.0,Appartement,0.0,54.0,53.9,3.0,8905.0,8889.0,14.0,RUE LOUIS BONNET,5770,75011.0,75111,Paris 11e Arrondissement,75,75111000AD0098,2.376982,48.871297
11435,2018-751150,2018-10-30,270000.0,Appartement,0.0,29.0,,2.0,,9310.0,9.0,BD DE BELLEVILLE,0832,75011.0,75111,Paris 11e Arrondissement,75,75111000AI0014,2.381859,48.867615
11438,2018-751153,2018-11-14,32500.0,Appartement,0.0,6.0,7.3,1.0,4452.0,5417.0,133.0,BD VOLTAIRE,9907,75011.0,75111,Paris 11e Arrondissement,75,75111000BV0103,2.382996,48.856382
11439,2018-751154,2018-11-06,245000.0,Appartement,0.0,28.0,25.52,2.0,9600.0,8750.0,7.0,RUE TERNAUX,9200,75011.0,75111,Paris 11e Arrondissement,75,75111000AR0034,2.372386,48.864237
11440,2018-751155,2018-11-15,116000.0,Appartement,0.0,18.0,11.52,1.0,10069.0,6444.0,19.0,RUE DE LAPPE,5344,75011.0,75111,Paris 11e Arrondissement,75,75111000CC0032,2.372648,48.853923
11442,2018-751156,2018-10-31,904550.0,Appartement,0.0,105.0,104.8,4.0,8631.0,8615.0,52.0,RUE DE BERCY,0881,75012.0,75112,Paris 12e Arrondissement,75,75112000DB0029,2.383048,48.837745
11444,2018-751157,2018-11-16,304350.0,Appartement,0.0,30.0,31.82,2.0,9565.0,10145.0,78.0,AV DU DOC ARNOLD NETTER,2816,75012.0,75112,Paris 12e Arrondissement,75,75112000AI0006,2.406515,48.846299
11446,2018-751158,2018-11-16,500000.0,Appartement,0.0,59.0,58.36,3.0,8568.0,8475.0,36.0,RUE DE PICPUS,7402,75012.0,75112,Paris 12e Arrondissement,75,75112000CH0003,2.394402,48.844792
11447,2018-751159,2018-10-29,21538.0,Appartement,0.0,8.0,,1.0,,2692.0,116.0,RUE OBERKAMPF,6858,75011.0,75111,Paris 11e Arrondissement,75,75111000AT0040,2.379582,48.865963
11448,2018-751159,2018-10-29,13462.0,Appartement,0.0,5.0,,1.0,,2692.0,116.0,RUE OBERKAMPF,6858,75011.0,75111,Paris 11e Arrondissement,75,75111000AT0040,2.379582,48.865963
11449,2018-751160,2018-11-16,315000.0,Appartement,0.0,25.0,28.58,1.0,11022.0,12600.0,97.0,RUE DE CHARONNE,1888,75011.0,75111,Paris 11e Arrondissement,75,75111000BW0090,2.383267,48.854636
11450,2018-751161,2018-11-14,159000.0,Appartement,0.0,14.0,14.64,1.0,10861.0,11357.0,64.0,RUE JEAN PIERRE TIMBAUD,4939,75011.0,75111,Paris 11e Arrondissement,75,75111000AL0044,2.374437,48.866633
11452,2018-751162,2018-10-31,463000.0,Appartement,0.0,50.0,50.41,2.0,9185.0,9260.0,35.0,BD DE BELLEVILLE,0832,75011.0,75111,Paris 11e Arrondissement,75,75111000AI0002,2.380374,48.868411
11454,2018-751164,2018-10-30,642000.0,Appartement,0.0,68.0,69.11,3.0,9290.0,9441.0,101.0,BD VOLTAIRE,9907,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0008,2.378309,48.859235
11455,2018-751165,2018-11-06,202920.0,Appartement,0.0,35.0,33.82,2.0,6000.0,5798.0,8.0,CITE DE L AMEUBLEMENT,0274,75011.0,75111,Paris 11e Arrondissement,75,75111000CT0155,2.385948,48.85118
11456,2018-751166,2018-11-08,177420.0,Appartement,0.0,17.0,,1.0,,10436.0,7.0,PAS DU CHEMIN VERT,1965,75011.0,75111,Paris 11e Arrondissement,75,75111000BC0026,2.374387,48.859383
11457,2018-751167,2018-11-06,441750.0,Appartement,0.0,41.0,42.15,3.0,10480.0,10774.0,160.0,RUE OBERKAMPF,6858,75011.0,75111,Paris 11e Arrondissement,75,75111000AV0145,2.382484,48.866695
11458,2018-751168,2018-10-26,260000.0,Appartement,0.0,27.0,29.82,2.0,8719.0,9630.0,67.0,BD DE BELLEVILLE,0832,75011.0,75111,Paris 11e Arrondissement,75,75111000AH0039,2.378341,48.870351
11459,2018-751169,2018-10-31,543050.0,Appartement,0.0,60.0,62.15,3.0,8738.0,9051.0,109.0,BD SOULT,9047,75012.0,75112,Paris 12e Arrondissement,75,75112000AH0039,2.409544,48.843475
11460,2018-751170,2018-11-20,525000.0,Appartement,0.0,48.0,48.64,2.0,10794.0,10938.0,23.0,RUE PETION,7312,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0058,2.380769,48.859266
11461,2018-751171,2018-11-20,300000.0,Appartement,0.0,25.0,23.82,2.0,12594.0,12000.0,11.0,RUE LACHARRIERE,5224,75011.0,75111,Paris 11e Arrondissement,75,75111000AZ0015,2.378285,48.862261
11462,2018-751172,2018-10-29,114260.0,Appartement,0.0,29.0,,2.0,,3940.0,7.0,RUE PETION,7312,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0068,2.381389,48.858446
11463,2018-751172,2018-10-29,94560.0,Appartement,0.0,24.0,,2.0,,3940.0,7.0,RUE PETION,7312,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0068,2.381389,48.858446
11464,2018-751173,2018-11-06,475000.0,Appartement,0.0,41.0,,3.0,,11585.0,25.0,RUE DE LA FONTAINE AU ROI,3717,75011.0,75111,Paris 11e Arrondissement,75,75111000AC0026,2.370777,48.868673
11465,2018-751174,2018-11-15,446000.0,Appartement,0.0,55.0,54.65,2.0,8161.0,8109.0,47.0,AV DU DOC ARNOLD NETTER,2816,75012.0,75112,Paris 12e Arrondissement,75,75112000AC0065,2.404375,48.844133
11468,2018-751176,2018-11-05,250000.0,Appartement,0.0,29.0,26.45,2.0,9452.0,8621.0,11.0,RUE NEUVE POPINCOURT,6730,75011.0,75111,Paris 11e Arrondissement,75,75111000AR0098,2.374809,48.864249
11469,2018-751177,2018-10-30,660000.0,Appartement,0.0,57.0,65.42,3.0,10089.0,11579.0,61.0,RUE SEDAINE,8901,75011.0,75111,Paris 11e Arrondissement,75,75111000BI0042,2.376291,48.857824
11470,2018-751178,2018-11-12,810000.0,Appartement,0.0,69.0,72.48,3.0,11175.0,11739.0,71.0,RUE SAINT MAUR,8699,75011.0,75111,Paris 11e Arrondissement,75,75111000AS0024,2.37887,48.863181
11471,2018-751179,2018-11-19,455000.0,Appartement,0.0,44.0,42.52,3.0,10701.0,10341.0,225.0,BD VOLTAIRE,9907,75011.0,75111,Paris 11e Arrondissement,75,75111000CR0125,2.390985,48.851588
11473,2018-751181,2018-11-13,390000.0,Appartement,0.0,36.0,,2.0,,10833.0,7.0,RUE PASTEUR,7090,75011.0,75111,Paris 11e Arrondissement,75,75111000BA0025,2.375022,48.86215
11475,2018-751183,2018-11-14,214400.0,Appartement,0.0,25.0,24.72,1.0,8673.0,8576.0,11.0,RUE DU MOULIN JOLY,6601,75011.0,75111,Paris 11e Arrondissement,75,75111000AH0072,2.378645,48.868987
11476,2018-751184,2018-11-15,455000.0,Appartement,0.0,60.0,55.0,2.0,8273.0,7583.0,114.0,AV PHILIPPE AUGUSTE,7380,75011.0,75111,Paris 11e Arrondissement,75,75111000BR0024,2.391569,48.857346
11477,2018-751185,2018-11-16,588000.0,Appartement,0.0,65.0,66.02,3.0,8906.0,9046.0,20.0,RUE CHANZY,1762,75011.0,75111,Paris 11e Arrondissement,75,75111000CV0116,2.384333,48.852416
11478,2018-751186,2018-10-25,1555000.0,Appartement,0.0,108.0,128.01,5.0,12147.0,14398.0,40.0,BD DE LA BASTILLE,0713,75012.0,75112,Paris 12e Arrondissement,75,75112000EP0005,2.369115,48.850575
11479,2018-751187,2018-10-27,190000.0,Appartement,0.0,32.0,26.7,1.0,7116.0,5938.0,94.0,RUE DU FBG ST ANTOINE,3514,75012.0,75112,Paris 12e Arrondissement,75,75112000ET0019,2.375302,48.851132
11480,2018-751188,2018-11-12,246609.0,Appartement,0.0,47.0,,2.0,,5247.0,18.0,RUE DAVAL,2599,75011.0,75111,Paris 11e Arrondissement,75,75111000CB0016,2.370818,48.854389
11481,2018-751188,2018-11-12,278091.0,Appartement,0.0,53.0,52.47,2.0,5300.0,5247.0,18.0,RUE DAVAL,2599,75011.0,75111,Paris 11e Arrondissement,75,75111000CB0016,2.370818,48.854389
11482,2018-751189,2018-11-08,331731.0,Appartement,0.0,40.0,37.35,3.0,8882.0,8293.0,18.0,RUE BASFROI,0701,75011.0,75111,Paris 11e Arrondissement,75,75111000BX0038,2.38012,48.854822
11483,2018-751190,2018-11-12,556000.0,Appartement,0.0,59.0,60.01,3.0,9265.0,9424.0,3.0,RUE DE PRAGUE,7783,75012.0,75112,Paris 12e Arrondissement,75,75112000ET0041,2.375737,48.848764
11486,2018-751193,2018-10-22,170000.0,Appartement,0.0,18.0,,1.0,,9444.0,25.0,RUE DU CHEMIN VERT,1966,75011.0,75111,Paris 11e Arrondissement,75,75111000BC0016,2.372551,48.858889
11488,2018-751195,2018-11-13,650000.0,Appartement,0.0,80.0,83.89,4.0,7748.0,8125.0,104.0,AV DE SAINT MANDE,8682,75012.0,75112,Paris 12e Arrondissement,75,75112000AH0045,2.409587,48.843999
11492,2018-751198,2018-10-30,775000.0,Appartement,0.0,92.0,87.38,4.0,8869.0,8424.0,13.0,RUE DE LA VOUTE,9924,75012.0,75112,Paris 12e Arrondissement,75,75112000AI0016,2.406623,48.845547
11493,2018-751199,2018-11-09,328000.0,Appartement,0.0,29.0,30.38,1.0,10797.0,11310.0,61.0,RUE DE REUILLY,8175,75012.0,75112,Paris 12e Arrondissement,75,75112000CP0024,2.389534,48.845949
11494,2018-751200,2018-11-12,175000.0,Appartement,0.0,20.0,,2.0,,8750.0,30.0,RUE CLAUDE TILLIER,2086,75012.0,75112,Paris 12e Arrondissement,75,75112000CR0003,2.389109,48.84886
11495,2018-751201,2018-11-16,292450.0,Appartement,0.0,40.0,,1.0,,7311.0,127.0,BD DE MENILMONTANT,6267,75011.0,75111,Paris 11e Arrondissement,75,75111000AV0063,2.383352,48.866092
11496,2018-751202,2018-11-12,240000.0,Appartement,0.0,30.0,19.7,2.0,12183.0,8000.0,143.0,RUE SAINT MAUR,8699,75011.0,75111,Paris 11e Arrondissement,75,75111000AE0036,2.375098,48.867587
11497,2018-751203,2018-11-05,180000.0,Appartement,0.0,18.0,,1.0,,10000.0,41.0,RUE BREGUET,1267,75011.0,75111,Paris 11e Arrondissement,75,75111000BI0030,2.376209,48.858614
11498,2018-751204,2018-10-31,315169.0,Appartement,0.0,55.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11499,2018-751204,2018-10-31,246404.0,Appartement,0.0,43.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11500,2018-751204,2018-10-31,286517.0,Appartement,0.0,50.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11501,2018-751204,2018-10-31,120337.0,Appartement,0.0,21.0,,2.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11502,2018-751204,2018-10-31,166180.0,Appartement,0.0,29.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11503,2018-751204,2018-10-31,166180.0,Appartement,0.0,29.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11504,2018-751204,2018-10-31,189101.0,Appartement,0.0,33.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11505,2018-751204,2018-10-31,189101.0,Appartement,0.0,33.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11506,2018-751204,2018-10-31,171910.0,Appartement,0.0,30.0,,1.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11507,2018-751204,2018-10-31,229213.0,Appartement,0.0,40.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11508,2018-751204,2018-10-31,234944.0,Appartement,0.0,41.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11509,2018-751204,2018-10-31,234944.0,Appartement,0.0,41.0,,3.0,,5730.0,17.0,RUE EDOUARD ROBERT,3158,75012.0,75112,Paris 12e Arrondissement,75,75112000BX0072,2.398561,48.837247
11511,2018-751206,2018-11-08,1160000.0,Appartement,0.0,98.0,,4.0,,11837.0,174.0,AV DAUMESNIL,2584,75012.0,75112,Paris 12e Arrondissement,75,75112000CB0048,2.394393,48.839695
11514,2018-751208,2018-11-19,295000.0,Appartement,0.0,35.0,33.1,2.0,8912.0,8429.0,62.0,RUE ALEXANDRE DUMAS,0155,75011.0,75111,Paris 11e Arrondissement,75,75111000CM0028,2.394994,48.85379
11515,2018-751209,2018-11-16,232500.0,Appartement,0.0,31.0,31.12,1.0,7471.0,7500.0,31.0,AV DU GAL MICHEL BIZOT,4075,75012.0,75112,Paris 12e Arrondissement,75,75112000BR0034,2.399461,48.833996
11516,2018-751210,2018-11-07,177000.0,Appartement,0.0,25.0,26.7,2.0,6629.0,7080.0,309.0,RUE DE CHARENTON,1794,75012.0,75112,Paris 12e Arrondissement,75,75112000BS0039,2.395002,48.834047
11517,2018-751211,2018-11-19,615500.0,Appartement,0.0,76.0,,4.0,,8099.0,53.0,BD SOULT,9047,75012.0,75112,Paris 12e Arrondissement,75,75112000AP0010,2.408076,48.839605
11518,2018-751212,2018-10-31,190000.0,Appartement,0.0,20.0,19.01,1.0,9995.0,9500.0,31.0,RUE DES TROIS BORNES,9456,75011.0,75111,Paris 11e Arrondissement,75,75111000AE0044,2.373655,48.867353
11521,2018-751214,2018-10-29,230000.0,Appartement,0.0,33.0,29.8,2.0,7718.0,6970.0,127.0,RUE DE MONTREUIL,6530,75011.0,75111,Paris 11e Arrondissement,75,75111000CN0016,2.39723,48.851416
11522,2018-751215,2018-11-07,4000.0,Appartement,0.0,35.0,,2.0,,114.0,266.0,BD VOLTAIRE,9907,75011.0,75111,Paris 11e Arrondissement,75,75111000CP0101,2.392387,48.849726
11523,2018-751216,2018-11-20,300000.0,Appartement,0.0,30.0,,1.0,,10000.0,108.0,RUE SAINT MAUR,8699,75011.0,75111,Paris 11e Arrondissement,75,75111000AK0047,2.377029,48.866852
11524,2018-751217,2018-10-29,186000.0,Appartement,0.0,17.0,17.02,1.0,10928.0,10941.0,9.0,RUE GUILLAUME BERTRAND,4390,75011.0,75111,Paris 11e Arrondissement,75,75111000AS0014,2.380316,48.863715
11526,2018-751219,2018-11-19,921050.0,Appartement,0.0,79.0,80.43,3.0,11452.0,11659.0,30.0,BD DE LA BASTILLE,0713,75012.0,75112,Paris 12e Arrondissement,75,75112000EO0003,2.368628,48.849416
11528,2018-751220,2018-11-05,1190000.0,Appartement,0.0,121.0,122.07,6.0,9749.0,9835.0,60.0,RUE DU RENDEZ VOUS,8137,75012.0,75112,Paris 12e Arrondissement,75,75112000AA0029,2.40139,48.846918
11529,2018-751221,2018-10-26,119790.0,Appartement,0.0,10.0,10.86,1.0,11030.0,11979.0,18.0,RUE FABRE D EGLANTINE,3479,75012.0,75112,Paris 12e Arrondissement,75,75112000CN0021,2.396129,48.84698
11530,2018-751222,2018-11-23,304000.0,Appartement,0.0,95.0,,4.0,,3200.0,3.0,BD DE BELLEVILLE,0832,75011.0,75111,Paris 11e Arrondissement,75,75111000AI0017,2.382149,48.867316
11531,2018-751222,2018-11-23,227200.0,Appartement,0.0,71.0,,3.0,,3200.0,3.0,BD DE BELLEVILLE,0832,75011.0,75111,Paris 11e Arrondissement,75,75111000AI0017,2.382149,48.867316
11532,2018-751223,2018-11-23,356000.0,Appartement,0.0,44.0,44.0,2.0,8091.0,8091.0,55.0,BD DE CHARONNE,1887,75011.0,75111,Paris 11e Arrondissement,75,75111000CM0018,2.396255,48.852563
11535,2018-751224,2018-10-31,637800.0,Appartement,0.0,74.0,,3.0,,8619.0,75.0,BD DE CHARONNE,1887,75011.0,75111,Paris 11e Arrondissement,75,75111000CM0022,2.395488,48.853946
11536,2018-751225,2018-10-31,490000.0,Appartement,0.0,50.0,,3.0,,9800.0,95.0,RUE SEDAINE,8901,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0013,2.379099,48.85915
11537,2018-751226,2018-11-05,342737.0,Appartement,0.0,44.0,67.7,1.0,5063.0,7789.0,15.0,RUE DE PRAGUE,7783,75012.0,75112,Paris 12e Arrondissement,75,75112000ET0061,2.375554,48.849756
11538,2018-751226,2018-11-05,397263.0,Appartement,0.0,51.0,67.7,3.0,5868.0,7789.0,15.0,RUE DE PRAGUE,7783,75012.0,75112,Paris 12e Arrondissement,75,75112000ET0061,2.375554,48.849756
11539,2018-751227,2018-11-05,303000.0,Appartement,0.0,24.0,28.17,2.0,10756.0,12625.0,20.0,AV PARMENTIER,7067,75011.0,75111,Paris 11e Arrondissement,75,75111000BL0023,2.379284,48.860243
11540,2018-751228,2018-11-08,435000.0,Appartement,0.0,52.0,,2.0,,8365.0,53.0,AV PARMENTIER,7067,75011.0,75111,Paris 11e Arrondissement,75,75111000BA0037,2.375339,48.863007
11541,2018-751229,2018-11-20,319200.0,Appartement,0.0,31.0,,2.0,,10297.0,84.0,RUE DU FAUBOURG DU TEMPLE,3508,75011.0,75111,Paris 11e Arrondissement,75,75111000AD0023,2.373559,48.870458
11542,2018-751230,2018-11-22,260000.0,Appartement,0.0,30.0,,2.0,,8667.0,4.0,RUE DU GENERAL GUILHEM,4046,75011.0,75111,Paris 11e Arrondissement,75,75111000AY0065,2.380597,48.861139
11543,2018-751231,2018-10-31,375000.0,Appartement,0.0,30.0,,2.0,,12500.0,54.0,RUE BASFROI,0701,75011.0,75111,Paris 11e Arrondissement,75,75111000BY0052,2.378293,48.856689
11546,2018-751234,2018-11-15,100.0,Appartement,0.0,23.0,,2.0,,4.0,43.0,RUE LEON FROT,5554,75011.0,75111,Paris 11e Arrondissement,75,75111000BW0037,2.38609,48.855595
11547,2018-751235,2018-10-18,190000.0,Appartement,0.0,27.0,25.03,1.0,7591.0,7037.0,4.0,RUE NEUVE POPINCOURT,6730,75011.0,75111,Paris 11e Arrondissement,75,75111000AR0102,2.373731,48.86447
11549,2018-751237,2018-11-23,335553.0,Appartement,0.0,30.0,54.05,1.0,6208.0,11185.0,115.0,RUE OBERKAMPF,6858,75011.0,75111,Paris 11e Arrondissement,75,75111000AK0040,2.378175,48.866357
11550,2018-751237,2018-11-23,190147.0,Appartement,0.0,17.0,,1.0,,11185.0,115.0,RUE OBERKAMPF,6858,75011.0,75111,Paris 11e Arrondissement,75,75111000AK0040,2.378175,48.866357
11551,2018-751238,2018-11-21,490000.0,Appartement,0.0,47.0,46.0,2.0,10652.0,10426.0,30.0,RUE BREGUET,1267,75011.0,75111,Paris 11e Arrondissement,75,75111000BI0054,2.374828,48.857806
11552,2018-751239,2018-11-05,420000.0,Appartement,0.0,51.0,51.32,3.0,8184.0,8235.0,25.0,BD SOULT,9047,75012.0,75112,Paris 12e Arrondissement,75,75112000AX0047,2.407659,48.837068
11553,2018-751240,2018-11-14,220000.0,Appartement,0.0,26.0,25.66,1.0,8574.0,8462.0,325.0,RUE DE CHARENTON,1794,75012.0,75112,Paris 12e Arrondissement,75,75112000BR0041,2.396699,48.833197
11554,2018-751241,2018-10-29,148000.0,Appartement,0.0,13.0,12.43,1.0,11907.0,11385.0,104.0,RUE OBERKAMPF,6858,75011.0,75111,Paris 11e Arrondissement,75,75111000AT0028,2.379136,48.865075
11555,2018-751242,2018-11-07,689400.0,Appartement,0.0,34.0,71.1,1.0,9696.0,20276.0,142.0,RUE DU CHEMIN VERT,1966,75011.0,75111,Paris 11e Arrondissement,75,75111000BN0058,2.38627,48.862366
11556,2018-751243,2018-10-31,912000.0,Appartement,0.0,107.0,106.73,5.0,8545.0,8523.0,55.0,BD DE CHARONNE,1887,75011.0,75111,Paris 11e Arrondissement,75,75111000CM0018,2.396255,48.852563
11562,2018-751246,2018-10-29,350000.0,Appartement,0.0,35.0,34.17,2.0,10243.0,10000.0,176.0,RUE SAINT MAUR,8699,75011.0,75111,Paris 11e Arrondissement,75,75111000AD0001,2.373184,48.870484
11563,2018-751247,2018-11-06,233000.0,Appartement,0.0,17.0,22.2,1.0,10495.0,13706.0,147.0,RUE DE CHARONNE,1888,75011.0,75111,Paris 11e Arrondissement,75,75111000BS0061,2.38815,48.855495
11564,2018-751248,2018-10-31,670000.0,Appartement,0.0,68.0,66.38,3.0,10093.0,9853.0,6.0,RUE BASFROI,0701,75011.0,75111,Paris 11e Arrondissement,75,75111000BX0035,2.380576,48.854065
11568,2018-751251,2018-11-09,474000.0,Appartement,0.0,57.0,55.79,2.0,8496.0,8316.0,4.0,SQ STE IRENEE,8642,75011.0,75111,Paris 11e Arrondissement,75,75111000AZ0088,2.377009,48.86081
11569,2018-751252,2018-11-15,291030.0,Appartement,0.0,40.0,45.72,3.0,6365.0,7276.0,40.0,RUE MONTGALLET,6495,75012.0,75112,Paris 12e Arrondissement,75,75112000CE0042,2.389157,48.843959
11571,2018-751254,2018-11-23,526300.0,Appartement,0.0,50.0,52.92,3.0,9945.0,10526.0,234.0,RUE DU FBG ST ANTOINE,3514,75012.0,75112,Paris 12e Arrondissement,75,75112000CS0076,2.388078,48.848804
