,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_réelle,surface_carrez,nb_pièces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
444,2018-743891,2018-07-20,4300000.0,Appartement,0.0,251.0,249.3,6.0,17248.0,17131.0,244.0,RUE DE RIVOLI,8249,75001.0,75101,Paris 1er Arrondissement,75,75101000BD0045,2.325491,48.866172
445,2018-743892,2018-08-02,280000.0,Appartement,0.0,33.0,27.05,1.0,10351.0,8485.0,304.0,RUE SAINT HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AY0078,2.331921,48.86529
446,2018-743893,2018-08-10,400000.0,Appartement,0.0,52.0,47.85,2.0,8359.0,7692.0,79.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0107,2.353976,48.867925
448,2018-743895,2018-08-02,360000.0,Appartement,0.0,30.0,28.76,1.0,12517.0,12000.0,7.0,RUE DE LA TREMOILLE,5388,75008.0,75108,Paris 8e Arrondissement,75,75108000AN0006,2.30263,48.867046
449,2018-743896,2018-07-27,222000.0,Appartement,0.0,20.0,21.51,2.0,10321.0,11100.0,68.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0056,2.356388,48.867992
450,2018-743897,2018-07-31,1075000.0,Appartement,0.0,90.0,85.02,4.0,12644.0,11944.0,7.0,RUE ANDRIEUX,0337,75008.0,75108,Paris 8e Arrondissement,75,75108000CF0013,2.318854,48.881058
451,2018-743898,2018-08-01,130000.0,Appartement,0.0,16.0,17.65,2.0,7365.0,8125.0,5.0,RUE DE TEHERAN,9185,75008.0,75108,Paris 8e Arrondissement,75,75108000CL0058,2.312379,48.875738
455,2018-743901,2018-07-27,133000.0,Appartement,0.0,12.0,12.6,1.0,10556.0,11083.0,23.0,RUE DES LAVANDIERES STE OPPORT,5409,75001.0,75101,Paris 1er Arrondissement,75,75101000AO0105,2.346377,48.859357
458,2018-743904,2018-07-26,2232500.0,Appartement,0.0,191.0,206.67,7.0,10802.0,11688.0,22.0,AV DE FRIEDLAND,3868,75008.0,75108,Paris 8e Arrondissement,75,75108000AV0024,2.300368,48.87479
459,2018-743905,2018-07-31,410000.0,Appartement,0.0,28.0,37.34,1.0,10980.0,14643.0,28.0,RUE DE POITOU,7572,75003.0,75103,Paris 3e Arrondissement,75,75103000AK0091,2.362506,48.861703
