,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
68,2023-543656,2023-01-06,186000.0,Appartement,1.0,18.0,,1.0,,10333.0,14.0,RUE FESSART,3625,75019.0,75119,Paris 19e Arrondissement,75,75119000EI0035,2.387123,48.876572
69,2023-543657,2023-01-03,209100.0,Appartement,0.0,25.0,,1.0,,8364.0,74.0,AV JEAN JAURES,4903,75019.0,75119,Paris 19e Arrondissement,75,75119000AX0054,2.377781,48.88443
71,2023-543658,2023-01-09,253000.0,Appartement,1.0,31.0,,2.0,,8161.0,116.0,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0052,2.323396,48.893079
72,2023-543659,2023-01-06,374150.0,Appartement,1.0,34.0,38.67,3.0,9675.0,11004.0,43.0,RUE DE LA REUNION,8180,75020.0,75120,Paris 20e Arrondissement,75,75120000DR0073,2.401679,48.854807
74,2023-543660,2023-01-09,264745.0,Appartement,0.0,40.0,,2.0,,6619.0,21.0,RUE DES CLOYS,2157,75018.0,75118,Paris 18e Arrondissement,75,75118000AW0034,2.339433,48.89248
75,2023-543661,2023-01-04,100000.0,Appartement,0.0,9.0,,1.0,,11111.0,89.0,RUE DU FBG ST MARTIN,3522,75010.0,75110,Paris 10e Arrondissement,75,75110000BA0035,2.357403,48.873133
77,2023-543662,2023-01-04,268000.0,Appartement,1.0,23.0,,1.0,,11652.0,21.0,RUE MICHEL LE COMTE,6336,75003.0,75103,Paris 3e Arrondissement,75,75103000AT0091,2.355277,48.862101
79,2023-543664,2023-01-10,316770.0,Appartement,0.0,35.0,34.93,2.0,9069.0,9051.0,5.0,RUE LOUIS PUTEAUX,7892,75017.0,75117,Paris 17e Arrondissement,75,75117000CL0022,2.32177,48.882946
80,2023-543665,2023-01-11,94000.0,Appartement,1.0,15.0,14.37,1.0,6541.0,6267.0,2.0,RUE DE LAGHOUAT,5261,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0100,2.355989,48.888112
82,2023-543666,2023-01-05,199000.0,Appartement,0.0,18.0,20.01,1.0,9945.0,11056.0,14.0,RUE DENOYEZ,2696,75020.0,75120,Paris 20e Arrondissement,75,75120000AA0028,2.378925,48.871766
