,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
7669,2023-547609,2023-03-28,657300.0,Appartement,1.0,65.0,59.29,3.0,11086.0,10112.0,22.0,RUE BIOT,0976,75017.0,75117,Paris 17e Arrondissement,75,75117000CM0112,2.325881,48.884775
7670,2023-547610,2023-03-22,330000.0,Appartement,0.0,34.0,,2.0,,9706.0,16.0,RUE DESCOMBES,2728,75017.0,75117,Paris 17e Arrondissement,75,75117000AX0074,2.292477,48.885247
7672,2023-547612,2023-03-20,304400.0,Appartement,1.0,38.0,,2.0,,8011.0,33.0,RUE BERZELIUS,0930,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0048,2.319065,48.893817
7674,2023-547613,2023-03-17,240000.0,Appartement,0.0,20.0,,2.0,,12000.0,185.0,RUE DU FBG ST MARTIN,3522,75010.0,75110,Paris 10e Arrondissement,75,75110000AG0046,2.362595,48.879375
7676,2023-547614,2023-03-21,1.0,Appartement,0.0,77.0,,4.0,,0.0,24.0,RUE DE LA ROCHEFOUCAULD,5356,75009.0,75109,Paris 9e Arrondissement,75,75109000AH0040,2.334662,48.878463
7678,2023-547615,2023-03-10,535000.0,Appartement,1.0,48.0,45.34,3.0,11800.0,11146.0,7.0,RUE DE NORMANDIE,6817,75003.0,75103,Paris 3e Arrondissement,75,75103000AJ0052,2.364124,48.863029
7680,2023-547616,2023-03-10,830000.0,Appartement,1.0,90.0,,4.0,,9222.0,5.0,RUE MARCEL RENAULT,6007,75017.0,75117,Paris 17e Arrondissement,75,75117000AO0019,2.293026,48.879632
7682,2023-547617,2023-03-14,90600.0,Appartement,0.0,58.0,,3.0,,1562.0,115.0,RUE MARCADET,5995,75018.0,75118,Paris 18e Arrondissement,75,75118000BK0034,2.342397,48.891103
7686,2023-547619,2023-03-15,1253590.0,Appartement,1.0,82.0,79.64,4.0,15741.0,15288.0,7.0,SQ GABRIEL FAURE,3899,75017.0,75117,Paris 17e Arrondissement,75,75117000CH0028,2.313017,48.885276
7687,2023-547620,2023-03-28,455000.0,Appartement,0.0,56.0,54.45,3.0,8356.0,8125.0,34.0,RUE SAUFFROY,8832,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0005,2.321635,48.892083
7689,2023-547621,2023-03-17,655000.0,Appartement,1.0,47.0,49.6,2.0,13206.0,13936.0,2.0,SQ NOLLET,6804,75017.0,75117,Paris 17e Arrondissement,75,75117000CS0028,2.317051,48.88916
7691,2023-547622,2023-03-28,62417.0,Appartement,0.0,7.0,5.98,1.0,10438.0,8917.0,22.0,RUE DE L ECHIQUIER,3084,75010.0,75110,Paris 10e Arrondissement,75,75110000AV0015,2.351178,48.871546
7692,2023-547622,2023-03-28,44583.0,Appartement,0.0,5.0,5.63,1.0,7919.0,8917.0,22.0,RUE DE L ECHIQUIER,3084,75010.0,75110,Paris 10e Arrondissement,75,75110000AV0015,2.351178,48.871546
7693,2023-547623,2023-03-28,225000.0,Appartement,0.0,25.0,18.62,1.0,12084.0,9000.0,49.0,RUE SAINT-SAUVEUR,8752,75002.0,75102,Paris 2e Arrondissement,75,75102000AM0148,2.347749,48.866061
7695,2023-547624,2023-03-02,606400.0,Appartement,1.0,52.0,52.62,3.0,11524.0,11662.0,36.0,AV DE CLICHY,2112,75018.0,75118,Paris 18e Arrondissement,75,75118000AO0048,2.326778,48.885794
7696,2023-547625,2023-03-08,1224500.0,Appartement,0.0,70.0,123.53,3.0,9913.0,17493.0,29.0,RUE LUCIEN SAMPAIX,5844,75010.0,75110,Paris 10e Arrondissement,75,75110000BD0014,2.360991,48.872943
7697,2023-547626,2023-03-07,316815.0,Appartement,1.0,30.0,33.24,2.0,9531.0,10560.0,32.0,RUE GAUTHEY,3992,75017.0,75117,Paris 17e Arrondissement,75,75117000DH0130,2.321361,48.892389
7699,2023-547627,2023-03-09,230000.0,Appartement,0.0,26.0,25.31,2.0,9087.0,8846.0,62.0,RUE DU MONT CENIS,6467,75018.0,75118,Paris 18e Arrondissement,75,75118000BI0038,2.344032,48.891342
7700,2023-547628,2023-03-08,360000.0,Appartement,0.0,35.0,32.6,2.0,11043.0,10286.0,18.0,RUE DE STEINKERQUE,9078,75018.0,75118,Paris 18e Arrondissement,75,75118000BR0085,2.343544,48.88422
7702,2023-547630,2023-03-20,427000.0,Appartement,1.0,50.0,52.44,2.0,8143.0,8540.0,19.0,BD DE LA SOMME,9019,75017.0,75117,Paris 17e Arrondissement,75,75117000AY0015,2.291886,48.886697
7705,2023-547632,2023-03-23,2145000.0,Appartement,1.0,171.0,171.06,5.0,12539.0,12544.0,10.0,AV GOURGAUD,4243,75017.0,75117,Paris 17e Arrondissement,75,75117000BE0076,2.297719,48.886115
7708,2023-547634,2023-03-15,383150.0,Appartement,1.0,40.0,41.05,2.0,9334.0,9579.0,132.0,RUE DU FBG POISSONNIERE,3512,75010.0,75110,Paris 10e Arrondissement,75,75110000AB0090,2.350214,48.880344
7711,2023-547635,2023-03-17,1181326.0,Appartement,1.0,104.0,105.02,4.0,11249.0,11359.0,152.0,RUE SAUSSURE,8847,75017.0,75117,Paris 17e Arrondissement,75,75117000CC0008,2.306456,48.889942
7713,2023-547636,2023-03-13,764000.0,Appartement,0.0,65.0,66.05,2.0,11567.0,11754.0,15.0,RUE TRONCHET,9470,75008.0,75108,Paris 8e Arrondissement,75,75108000BS0118,2.325326,48.871932
7714,2023-547637,2023-03-08,570300.0,Appartement,1.0,45.0,42.4,2.0,13450.0,12673.0,19.0,RUE CHATEAUBRIAND,1914,75008.0,75108,Paris 8e Arrondissement,75,75108000AU0023,2.300759,48.873411
7716,2023-547638,2023-03-02,460000.0,Appartement,0.0,36.0,39.37,2.0,11684.0,12778.0,108.0,RUE D ABOUKIR,0040,75002.0,75102,Paris 2e Arrondissement,75,75102000AP0002,2.34999,48.868528
7718,2023-547639,2023-03-23,580000.0,Appartement,1.0,73.0,,4.0,,7945.0,1.0,RUE JANSSEN,4816,75019.0,75119,Paris 19e Arrondissement,75,75119000DY0021,2.396643,48.878898
7720,2023-547640,2023-03-27,1516200.0,Appartement,1.0,176.0,,4.0,,8615.0,16.0,RUE DU FBG SAINT DENIS,3516,75010.0,75110,Paris 10e Arrondissement,75,75110000AW0056,2.35354,48.87053
7721,2023-547641,2023-03-22,379200.0,Appartement,1.0,25.0,,2.0,,15168.0,29.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000BW0006,2.349896,48.895235
7723,2023-547642,2023-03-02,24000.0,Appartement,0.0,39.0,,2.0,,615.0,108.0,RUE D ABOUKIR,0040,75002.0,75102,Paris 2e Arrondissement,75,75102000AP0002,2.34999,48.868528
7726,2023-547644,2023-03-24,409883.0,Appartement,0.0,38.0,,2.0,,10786.0,164.0,RUE MONTMARTRE,6513,75002.0,75102,Paris 2e Arrondissement,75,75102000AH0025,2.343022,48.870379
7730,2023-547646,2023-03-08,190000.0,Appartement,0.0,14.0,,1.0,,13571.0,10.0,RUE DES COUTURES SAINT GERVAIS,2412,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0010,2.362533,48.860151
7731,2023-547647,2023-03-21,1736900.0,Appartement,0.0,138.0,,5.0,,12586.0,16.0,RUE NOTRE-DAME DE LORETTE,6832,75009.0,75109,Paris 9e Arrondissement,75,75109000AG0034,2.338484,48.877824
7733,2023-547649,2023-03-14,264250.0,Appartement,0.0,27.0,,1.0,,9787.0,125.0,BD SERURIER,8939,75019.0,75119,Paris 19e Arrondissement,75,75119000DL0017,2.394678,48.883387
7734,2023-547650,2023-03-17,575000.0,Appartement,0.0,63.0,,3.0,,9127.0,9.0,RUE DE MOSCOU,6573,75008.0,75108,Paris 8e Arrondissement,75,75108000BZ0042,2.325613,48.880093
7735,2023-547651,2023-03-23,191000.0,Appartement,1.0,20.0,,1.0,,9550.0,13.0,RUE LA CONDAMINE,5228,75017.0,75117,Paris 17e Arrondissement,75,75117000CN0013,2.324068,48.887339
7737,2023-547652,2023-03-16,220000.0,Appartement,1.0,24.0,,2.0,,9167.0,17.0,VLA SAINT MICHEL,8711,75018.0,75118,Paris 18e Arrondissement,75,75118000AL0205,2.328162,48.889759
7740,2023-547653,2023-03-23,470000.0,Appartement,1.0,54.0,,2.0,,8704.0,38.0,RUE MATHIS,6170,75019.0,75119,Paris 19e Arrondissement,75,75119000AI0039,2.373309,48.891388
7743,2023-547655,2023-03-24,32400.0,Appartement,0.0,5.0,,1.0,,6480.0,51.0,RUE DE ROCHECHOUART,8289,75009.0,75109,Paris 9e Arrondissement,75,75109000BA0058,2.345388,48.879333
7744,2023-547656,2023-03-24,165000.0,Appartement,0.0,21.0,18.47,1.0,8933.0,7857.0,40.0,RUE HENRI CHEVREAU,4545,75020.0,75120,Paris 20e Arrondissement,75,75120000AL0093,2.388645,48.8707
7746,2023-547658,2023-03-22,323550.0,Appartement,0.0,22.0,,1.0,,14707.0,7.0,RUE DE PONTHIEU,7612,75008.0,75108,Paris 8e Arrondissement,75,75108000BH0049,2.310586,48.870133
7749,2023-547660,2023-03-20,295000.0,Appartement,1.0,15.0,,2.0,,19667.0,71.0,RUE PHILIPPE DE GIRARD,7385,75018.0,75118,Paris 18e Arrondissement,75,75118000DD0006,2.360595,48.887132
7750,2023-547661,2023-03-29,254840.0,Appartement,0.0,30.0,,1.0,,8495.0,62.0,RUE STENDHAL,9085,75020.0,75120,Paris 20e Arrondissement,75,75120000CL0017,2.400795,48.863254
7751,2023-547662,2023-03-07,687800.0,Appartement,0.0,69.0,,2.0,,9968.0,19.0,BD SAINT DENIS,8522,75002.0,75102,Paris 2e Arrondissement,75,75102000AP0021,2.352895,48.869389
7752,2023-547663,2023-03-23,3550.0,Appartement,0.0,200.0,,5.0,,18.0,28.0,RUE DE PONTHIEU,7612,75008.0,75108,Paris 8e Arrondissement,75,75108000BI0010,2.308778,48.871085
7759,2023-547667,2023-03-16,515000.0,Appartement,1.0,52.0,,3.0,,9904.0,12.0,RUE FERDINAND FLOCON,3587,75018.0,75118,Paris 18e Arrondissement,75,75118000BJ0036,2.346272,48.891426
7760,2023-547668,2023-03-15,28000.0,Appartement,0.0,12.0,,1.0,,2333.0,10.0,RUE DU JOUR,5033,75001.0,75101,Paris 1er Arrondissement,75,75101000AR0118,2.345291,48.863929
7761,2023-547669,2023-03-22,256150.0,Appartement,0.0,25.0,,2.0,,10246.0,7.0,RUE LEPIC,5595,75018.0,75118,Paris 18e Arrondissement,75,75118000AQ0043,2.3331,48.884351
7763,2023-547670,2023-03-03,400000.0,Appartement,0.0,41.0,,2.0,,9756.0,24.0,RUE HERMEL,4617,75018.0,75118,Paris 18e Arrondissement,75,75118000BJ0098,2.345067,48.891955
7764,2023-547671,2023-03-22,329000.0,Appartement,1.0,38.0,,2.0,,8658.0,3.0,RUE JACQUEMONT,4776,75017.0,75117,Paris 17e Arrondissement,75,75117000DK0066,2.323538,48.888203
7767,2023-547672,2023-03-28,880000.0,Appartement,1.0,81.0,83.3,4.0,10564.0,10864.0,11.0,RUE DES CLOYS,2157,75018.0,75118,Paris 18e Arrondissement,75,75118000BI0099,2.34034,48.892446
7769,2023-547673,2023-03-09,150000.0,Appartement,0.0,17.0,17.94,1.0,8361.0,8824.0,25.0,RUE SIMART,8976,75018.0,75118,Paris 18e Arrondissement,75,75118000BJ0079,2.347318,48.890841
7770,2023-547674,2023-03-24,226920.0,Appartement,1.0,23.0,22.74,1.0,9979.0,9866.0,75.0,RUE DULONG,2980,75017.0,75117,Paris 17e Arrondissement,75,75117000CI0042,2.314486,48.886381
7773,2023-547675,2023-03-17,590476.0,Appartement,1.0,50.0,52.25,3.0,11301.0,11810.0,100.0,RUE VIEILLE DU TEMPLE,9783,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0003,2.362175,48.860558
7774,2023-547676,2023-03-27,192000.0,Appartement,0.0,19.0,18.9,1.0,10159.0,10105.0,3.0,RUE SAUFFROY,8832,75017.0,75117,Paris 17e Arrondissement,75,75117000DI0068,2.32029,48.890861
7775,2023-547677,2023-01-27,260000.0,Appartement,0.0,28.0,,1.0,,9286.0,6.0,VLA TOCCATA,9329,75019.0,75119,Paris 19e Arrondissement,75,75119000BB0035,2.386248,48.88932
7778,2023-547679,2023-03-30,168000.0,Appartement,1.0,35.0,,2.0,,4800.0,3.0,RUE JUSTE METIVIER,5132,75018.0,75118,Paris 18e Arrondissement,75,75118000AT0065,2.335368,48.889188
7779,2023-547680,2023-03-02,439000.0,Appartement,0.0,45.0,,3.0,,9756.0,3.0,RUE THOLOZE,9287,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0032,2.33498,48.886199
7780,2023-547681,2023-03-17,207400.0,Appartement,1.0,23.0,,2.0,,9017.0,116.0,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0052,2.323396,48.893079
7782,2023-547682,2023-03-17,480000.0,Appartement,1.0,40.0,45.01,3.0,10664.0,12000.0,40.0,RUE DES APENNINS,0396,75017.0,75117,Paris 17e Arrondissement,75,75117000DI0172,2.323061,48.891382
7785,2023-547683,2023-03-20,407000.0,Appartement,1.0,47.0,45.95,2.0,8857.0,8660.0,4.0,RUE HENRI POINCARE,4581,75020.0,75120,Paris 20e Arrondissement,75,75120000BS0023,2.402307,48.869877
7787,2023-547685,2023-03-23,1972.0,Appartement,0.0,211.0,,6.0,,9.0,28.0,RUE DE PONTHIEU,7612,75008.0,75108,Paris 8e Arrondissement,75,75108000BI0010,2.308778,48.871085
7788,2023-547685,2023-03-23,1878.0,Appartement,0.0,201.0,,6.0,,9.0,28.0,RUE DE PONTHIEU,7612,75008.0,75108,Paris 8e Arrondissement,75,75108000BI0010,2.308778,48.871085
7789,2023-547686,2023-03-17,295000.0,Appartement,0.0,38.0,37.9,2.0,7784.0,7763.0,107.0,RUE HAXO,4510,75020.0,75120,Paris 20e Arrondissement,75,75120000AV0011,2.402101,48.875503
7794,2023-547689,2023-03-16,680000.0,Appartement,1.0,63.0,59.42,3.0,11444.0,10794.0,77.0,RUE NOTRE-DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0108,2.354195,48.867861
7797,2023-547690,2023-03-27,295830.0,Appartement,1.0,31.0,32.12,2.0,9210.0,9543.0,89.0,RUE POUCHET,7766,75017.0,75117,Paris 17e Arrondissement,75,75117000DP0022,2.32238,48.897047
7798,2023-547691,2023-03-24,1006700.0,Appartement,2.0,74.0,76.58,3.0,13146.0,13604.0,49.0,RUE DU ROCHER,8291,75008.0,75108,Paris 8e Arrondissement,75,75108000BX0013,2.319546,48.878323
7802,2023-547692,2023-03-27,425000.0,Appartement,1.0,42.0,,2.0,,10119.0,5.0,RUE MANIN,5976,75019.0,75119,Paris 19e Arrondissement,75,75119000EV0036,2.378491,48.876748
7804,2023-547693,2023-03-15,913170.0,Appartement,1.0,64.0,63.39,3.0,14406.0,14268.0,16.0,RUE DE LA TOUR D AUVERGNE,5381,75009.0,75109,Paris 9e Arrondissement,75,75109000BA0065,2.344504,48.879311
7806,2023-547694,2023-03-13,370000.0,Appartement,0.0,36.0,36.83,1.0,10046.0,10278.0,181.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AG0061,2.333975,48.894351
7807,2023-547695,2023-03-15,220000.0,Appartement,0.0,21.0,23.01,2.0,9561.0,10476.0,53.0,RUE LETORT,5630,75018.0,75118,Paris 18e Arrondissement,75,75118000BD0091,2.343515,48.89674
7812,2023-547698,2023-03-28,331000.0,Appartement,1.0,46.0,46.24,2.0,7158.0,7196.0,16.0,RUE ALEXANDRE PARODI,0159,75010.0,75110,Paris 10e Arrondissement,75,75110000BW0012,2.365161,48.880217
7815,2023-547698,2023-03-28,331000.0,Appartement,1.0,46.0,46.04,2.0,7189.0,7196.0,16.0,RUE ALEXANDRE PARODI,0159,75010.0,75110,Paris 10e Arrondissement,75,75110000BW0012,2.365161,48.880217
7816,2023-547699,2023-03-24,713630.0,Appartement,0.0,54.0,45.8,2.0,15581.0,13215.0,65.0,RUE SAINT-HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AT0066,2.344559,48.860996
7817,2023-547700,2023-03-02,419962.0,Appartement,0.0,48.0,47.31,3.0,8877.0,8749.0,28.0,RUE DES HAIES,4452,75020.0,75120,Paris 20e Arrondissement,75,75120000DP0001,2.401036,48.852966
7819,2023-547701,2023-03-27,1000000.0,Appartement,1.0,53.0,51.53,2.0,19406.0,18868.0,14.0,RUE DE BEAUCE,0761,75003.0,75103,Paris 3e Arrondissement,75,75103000AI0082,2.361344,48.862857
7820,2023-547702,2023-03-29,1284600.0,Appartement,0.0,150.0,144.68,4.0,8879.0,8564.0,75.0,RUE DES GRANDS CHAMPS,4287,75020.0,75120,Paris 20e Arrondissement,75,75120000DX0046,2.405683,48.851525
7822,2023-547703,2023-03-20,3983500.0,Appartement,2.0,150.0,160.05,5.0,24889.0,26557.0,23.0,QUAI AUX FLEURS,3671,75004.0,75104,Paris 4e Arrondissement,75,75104000AW0005,2.350389,48.854773
7826,2023-547704,2023-03-30,2281553.0,Appartement,1.0,129.0,128.1,5.0,17811.0,17686.0,61.0,RUE DE BRETAGNE,1275,75003.0,75103,Paris 3e Arrondissement,75,75103000AI0013,2.360234,48.863965
7827,2023-547705,2023-03-03,900000.0,Appartement,0.0,59.0,57.06,3.0,15773.0,15254.0,8.0,BD DE LA MADELEINE,5888,75009.0,75109,Paris 9e Arrondissement,75,75109000AR0064,2.326914,48.870127
7829,2023-547706,2023-03-17,388000.0,Appartement,1.0,44.0,38.68,2.0,10031.0,8818.0,15.0,RUE VERON,9700,75018.0,75118,Paris 18e Arrondissement,75,75118000AR0135,2.335895,48.884434
7830,2023-547707,2023-03-31,300000.0,Appartement,0.0,34.0,,2.0,,8824.0,42.0,BD GOUVION ST-CYR,4252,75017.0,75117,Paris 17e Arrondissement,75,75117000AS0040,2.286416,48.882739
7831,2023-547708,2023-03-09,338000.0,Appartement,0.0,70.0,,3.0,,4829.0,6.0,RUE GUSTAVE ROUANET,4426,75018.0,75118,Paris 18e Arrondissement,75,75118000AY0066,2.340625,48.896686
7834,2023-547710,2023-03-21,316500.0,Appartement,2.0,38.0,,1.0,,8329.0,39.0,CRS DE VINCENNES,9850,75020.0,75120,Paris 20e Arrondissement,75,75120000DV0021,2.403,48.848322
7837,2023-547711,2023-03-14,212000.0,Appartement,0.0,24.0,,2.0,,8833.0,15.0,RUE DE LA CHAPELLE,1769,75018.0,75118,Paris 18e Arrondissement,75,75118000CL0009,2.359415,48.891376
7838,2023-547712,2023-03-02,152550.0,Appartement,0.0,8.0,,1.0,,19069.0,44.0,RUE DE LABORDE,5200,75008.0,75108,Paris 8e Arrondissement,75,75108000CI0071,2.316697,48.875833
7848,2023-547716,2023-03-14,1175000.0,Appartement,1.0,108.0,,3.0,,10880.0,39.0,BD DU TEMPLE,9190,75003.0,75103,Paris 3e Arrondissement,75,75103000AG0104,2.364529,48.866052
7850,2023-547717,2023-03-21,398854.0,Appartement,0.0,35.0,38.6,2.0,10333.0,11396.0,8.0,RUE DE MARSEILLE,6122,75010.0,75110,Paris 10e Arrondissement,75,75110000BE0024,2.363603,48.871346
7855,2023-547720,2023-03-27,555000.0,Appartement,1.0,60.0,,3.0,,9250.0,12.0,RUE DAMREMONT,2534,75018.0,75118,Paris 18e Arrondissement,75,75118000AT0147,2.332885,48.887661
7856,2023-547720,2023-03-27,185000.0,Appartement,1.0,20.0,,1.0,,9250.0,12.0,RUE DAMREMONT,2534,75018.0,75118,Paris 18e Arrondissement,75,75118000AT0147,2.332885,48.887661
7859,2023-547722,2023-03-22,557500.0,Appartement,0.0,54.0,,2.0,,10324.0,44.0,RUE SORBIER,9029,75020.0,75120,Paris 20e Arrondissement,75,75120000CA0219,2.393292,48.865225
7861,2023-547723,2023-03-17,188000.0,Appartement,0.0,14.0,,1.0,,13429.0,18.0,RUE DURANTIN,3029,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0132,2.337024,48.885871
7862,2023-547724,2023-03-28,496436.0,Appartement,1.0,46.0,48.05,2.0,10332.0,10792.0,109.0,RUE DU MONT CENIS,6467,75018.0,75118,Paris 18e Arrondissement,75,75118000BE0096,2.345236,48.894885
7865,2023-547725,2023-03-24,570000.0,Appartement,1.0,61.0,63.51,4.0,8975.0,9344.0,10.0,RUE JULES DUMIEN,5077,75020.0,75120,Paris 20e Arrondissement,75,75120000BM0009,2.401381,48.869443
7866,2023-547726,2023-03-17,660000.0,Appartement,1.0,68.0,,3.0,,9706.0,37.0,AV DES TERNES,9202,75017.0,75117,Paris 17e Arrondissement,75,75117000AH0049,2.29367,48.878399
7868,2023-547727,2023-03-24,86800.0,Appartement,0.0,14.0,10.8,1.0,8037.0,6200.0,3.0,RUE ETIENNE DOLET,3388,75020.0,75120,Paris 20e Arrondissement,75,75120000AN0071,2.383294,48.867798
7872,2023-547731,2023-03-13,723630.0,Appartement,1.0,70.0,,4.0,,10338.0,5.0,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,75117000CR0024,2.317983,48.887668
7875,2023-547732,2023-03-28,705500.0,Appartement,1.0,64.0,,3.0,,11023.0,9.0,RUE BROCHANT,1315,75017.0,75117,Paris 17e Arrondissement,75,75117000CS0008,2.316908,48.888484
7878,2023-547735,2023-03-17,695867.0,Appartement,0.0,70.0,69.44,3.0,10021.0,9941.0,55.0,RUE STEPHENSON,9092,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0231,2.355461,48.88954
7879,2023-547736,2023-03-23,245500.0,Appartement,0.0,25.0,24.14,2.0,10170.0,9820.0,66.0,RUE DU FBOURG MONTMARTRE,3510,75009.0,75109,Paris 9e Arrondissement,75,75109000AY0015,2.34025,48.876326
7880,2023-547737,2023-03-20,80000.0,Appartement,0.0,12.0,,1.0,,6667.0,4.0,RUE GEORGES BERGER,4119,75017.0,75117,Paris 17e Arrondissement,75,75117000BO0084,2.310525,48.880933
7882,2023-547738,2023-03-16,582000.0,Appartement,1.0,56.0,54.51,2.0,10677.0,10393.0,10.0,RUE DES PETITES ECURIES,7330,75010.0,75110,Paris 10e Arrondissement,75,75110000AR0012,2.353417,48.873276
7886,2023-547741,2023-03-22,295000.0,Appartement,1.0,24.0,,2.0,,12292.0,16.0,PL HENRI BERGSON,4539,75008.0,75108,Paris 8e Arrondissement,75,75108000BW0013,2.320061,48.876385
7891,2023-547743,2023-03-29,490000.0,Appartement,1.0,46.0,38.37,2.0,12770.0,10652.0,108.0,RUE SAINT-HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AT0174,2.341996,48.86182
7893,2023-547744,2023-03-24,502700.0,Appartement,0.0,37.0,36.95,2.0,13605.0,13586.0,47.0,RUE SAINT FERDINAND,8606,75017.0,75117,Paris 17e Arrondissement,75,75117000AF0042,2.286603,48.877119
7894,2023-547745,2023-03-31,518320.0,Appartement,0.0,40.0,44.29,2.0,11703.0,12958.0,184.0,RUE DU FBG ST MARTIN,3522,75010.0,75110,Paris 10e Arrondissement,75,75110000BS0011,2.362893,48.878137
7895,2023-547746,2023-03-03,380000.0,Appartement,1.0,37.0,37.75,3.0,10066.0,10270.0,25.0,AV CLAUDE VELLEFAUX,2088,75010.0,75110,Paris 10e Arrondissement,75,75110000BM0013,2.370085,48.875941
7897,2023-547747,2023-03-28,316000.0,Appartement,1.0,23.0,23.9,2.0,13222.0,13739.0,5.0,RUE DE GRANGE BATELIERE,4295,75009.0,75109,Paris 9e Arrondissement,75,75109000AU0057,2.342406,48.872887
7899,2023-547748,2023-03-17,377750.0,Appartement,1.0,39.0,40.54,2.0,9318.0,9686.0,86.0,RUE DE MENILMONTANT,6270,75020.0,75120,Paris 20e Arrondissement,75,75120000BW0144,2.391428,48.868813
7901,2023-547749,2023-03-24,259000.0,Appartement,0.0,24.0,22.4,1.0,11562.0,10792.0,2.0,RUE DU FBG POISSONNIERE,3512,75010.0,75110,Paris 10e Arrondissement,75,75110000AV0059,2.348411,48.870919
7902,2023-547750,2023-03-29,37000.0,Appartement,0.0,6.0,,1.0,,6167.0,104.0,RUE NOLLET,6803,75017.0,75117,Paris 17e Arrondissement,75,75117000CS0053,2.318684,48.888857
7906,2023-547752,2023-03-29,1089500.0,Appartement,2.0,88.0,,3.0,,12381.0,37.0,RUE DULONG,2980,75017.0,75117,Paris 17e Arrondissement,75,75117000CJ0099,2.316642,48.884571
7908,2023-547754,2023-03-27,605000.0,Appartement,1.0,50.0,,3.0,,12100.0,8.0,RUE PIERRE FONTAINE,3713,75009.0,75109,Paris 9e Arrondissement,75,75109000AC0075,2.334952,48.880937
7912,2023-547755,2023-03-28,355642.0,Appartement,1.0,63.0,,3.0,,5645.0,25.0,AV GAMBETTA,3933,75020.0,75120,Paris 20e Arrondissement,75,75120000BZ0073,2.391254,48.864076
7913,2023-547755,2023-03-28,395158.0,Appartement,1.0,70.0,,2.0,,5645.0,25.0,AV GAMBETTA,3933,75020.0,75120,Paris 20e Arrondissement,75,75120000BZ0073,2.391254,48.864076
7915,2023-547756,2023-03-22,432653.0,Appartement,0.0,63.0,,2.0,,6868.0,59.0,RUE DE ROCHECHOUART,8289,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0034,2.345925,48.880277
7916,2023-547756,2023-03-22,542533.0,Appartement,0.0,79.0,,3.0,,6868.0,59.0,RUE DE ROCHECHOUART,8289,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0034,2.345925,48.880277
7917,2023-547757,2023-03-22,568950.0,Appartement,1.0,52.0,,4.0,,10941.0,13.0,RUE PIERRE FONTAINE,3713,75009.0,75109,Paris 9e Arrondissement,75,75109000AC0038,2.334136,48.881201
7921,2023-547759,2023-03-24,1868543.0,Appartement,0.0,132.0,,6.0,,14156.0,76.0,RUE BLANCHE,1009,75009.0,75109,Paris 9e Arrondissement,75,75109000AC0004,2.33208,48.881753
7925,2023-547762,2023-03-24,379400.0,Appartement,0.0,25.0,29.28,2.0,12958.0,15176.0,76.0,BD DE CLICHY,2113,75018.0,75118,Paris 18e Arrondissement,75,75118000AR0184,2.333606,48.883869
7927,2023-547764,2023-03-10,52381.0,Appartement,0.0,10.0,10.3,1.0,5086.0,5238.0,19.0,RUE DE SOFIA,9002,75018.0,75118,Paris 18e Arrondissement,75,75118000BR0027,2.347756,48.884721
7928,2023-547764,2023-03-10,57619.0,Appartement,0.0,11.0,,1.0,,5238.0,19.0,RUE DE SOFIA,9002,75018.0,75118,Paris 18e Arrondissement,75,75118000BR0027,2.347756,48.884721
7929,2023-547765,2023-03-22,150000.0,Appartement,0.0,14.0,14.79,1.0,10142.0,10714.0,3.0,RUE DE GRANGE BATELIERE,4295,75009.0,75109,Paris 9e Arrondissement,75,75109000AU0056,2.342575,48.872866
7931,2023-547766,2023-03-02,107205.0,Appartement,0.0,7.0,,1.0,,15315.0,3.0,RUE DANCOURT,2538,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0071,2.341655,48.882878
7932,2023-547766,2023-03-02,1837795.0,Appartement,1.0,120.0,,6.0,,15315.0,3.0,RUE DANCOURT,2538,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0071,2.341655,48.882878
7933,2023-547767,2023-03-20,846000.0,Appartement,1.0,68.0,,3.0,,12441.0,46.0,RUE D ABOUKIR,0040,75002.0,75102,Paris 2e Arrondissement,75,75102000AJ0072,2.34553,48.867053
