,id_mutation,date_mutation,prix,type_local,nombre_dependances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_reel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
367,2023-543831,2023-01-10,1910000.0,Appartement,1.0,162.0,,5.0,,11790.0,4.0,RUE GOUNOD,4241,75017.0,75117,Paris 17e Arrondissement,75,75117000BJ0078,2.300928,48.883168
369,2023-543832,2023-01-03,347720.0,Appartement,1.0,44.0,,2.0,,7903.0,182.0,BD DE LA VILLETTE,9838,75019.0,75119,Paris 19e Arrondissement,75,75119000AT0069,2.371051,48.881394
372,2023-543833,2023-01-04,1175000.0,Appartement,1.0,109.0,,5.0,,10780.0,6.0,RUE DE CHANTILLY,1756,75009.0,75109,Paris 9e Arrondissement,75,75109000BE0087,2.34727,48.878269
374,2023-543835,2023-01-04,143000.0,Appartement,0.0,16.0,,1.0,,8938.0,135.0,RUE DU FBG DU TEMPLE,3508,75010.0,75110,Paris 10e Arrondissement,75,75110000BK0021,2.376023,48.872035
375,2023-543836,2023-01-17,400000.0,Appartement,1.0,40.0,,2.0,,10000.0,89.0,RUE NOLLET,6803,75017.0,75117,Paris 17e Arrondissement,75,75117000CS0090,2.31852,48.888376
377,2023-543838,2023-01-16,256000.0,Appartement,0.0,26.0,,2.0,,9846.0,4.0,RUE NICOLET,6769,75018.0,75118,Paris 18e Arrondissement,75,75118000BL0057,2.346348,48.888298
378,2023-543839,2023-01-09,941346.0,Appartement,1.0,99.0,94.2,4.0,9993.0,9509.0,49.0,RUE LEMERCIER,5503,75017.0,75117,Paris 17e Arrondissement,75,75117000CP0151,2.322332,48.887163
381,2023-543840,2023-01-18,528000.0,Appartement,1.0,49.0,,3.0,,10776.0,6.0,RUE CHRISTIANI,2027,75018.0,75118,Paris 18e Arrondissement,75,75118000BS0049,2.349001,48.885933
383,2023-543841,2023-01-03,276550.0,Appartement,1.0,31.0,31.79,1.0,8699.0,8921.0,19.0,RUE DES ROSES,8365,75018.0,75118,Paris 18e Arrondissement,75,75118000CZ0082,2.361159,48.893108
384,2023-543842,2023-01-06,180000.0,Appartement,0.0,15.0,15.03,1.0,11976.0,12000.0,4.0,PL DE CLICHY,2115,75009.0,75109,Paris 9e Arrondissement,75,75109000AA0122,2.327967,48.883307
385,2023-543843,2023-01-17,269531.0,Appartement,1.0,23.0,,1.0,,11719.0,39.0,RUE DURANTIN,3029,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0037,2.335198,48.886578
386,2023-543843,2023-01-17,105469.0,Appartement,0.0,9.0,34.03,1.0,3099.0,11719.0,39.0,RUE DURANTIN,3029,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0037,2.335198,48.886578
388,2023-543844,2023-01-02,468000.0,Appartement,1.0,60.0,51.94,2.0,9010.0,7800.0,86.0,BD MALESHERBES,5951,75008.0,75108,Paris 8e Arrondissement,75,75108000CG0019,2.313963,48.880264
390,2023-543845,2023-01-11,225000.0,Appartement,1.0,25.0,23.52,2.0,9566.0,9000.0,60.0,RUE RAMEY,8014,75018.0,75118,Paris 18e Arrondissement,75,75118000BJ0016,2.345113,48.891522
393,2023-543847,2023-01-12,560000.0,Appartement,1.0,65.0,,3.0,,8615.0,32.0,RUE CAVENDISH,1625,75019.0,75119,Paris 19e Arrondissement,75,75119000EO0008,2.379598,48.883792
394,2023-543848,2023-01-19,460000.0,Appartement,0.0,39.0,39.5,1.0,11646.0,11795.0,76.0,RUE DE CRIMEE,2443,75019.0,75119,Paris 19e Arrondissement,75,75119000DH0010,2.387479,48.88215
395,2023-543849,2023-01-09,342000.0,Appartement,0.0,27.0,,2.0,,12667.0,47.0,RUE GRENETA,4318,75002.0,75102,Paris 2e Arrondissement,75,75102000AL0023,2.348391,48.865193
396,2023-543850,2023-01-16,250000.0,Appartement,0.0,20.0,19.76,1.0,12652.0,12500.0,12.0,RUE DES LOMBARDS,5738,75004.0,75104,Paris 4e Arrondissement,75,75104000AC0079,2.349806,48.859289
398,2023-543852,2023-01-13,536000.0,Appartement,1.0,52.0,42.89,2.0,12497.0,10308.0,65.0,RUE DU FG POISSONNIERE,3512,75009.0,75109,Paris 9e Arrondissement,75,75109000AX0059,2.347893,48.87557
400,2023-543853,2023-01-12,615000.0,Appartement,1.0,63.0,,3.0,,9762.0,13.0,RUE STEPHENSON,9092,75018.0,75118,Paris 18e Arrondissement,75,75118000CI0019,2.356409,48.885843
402,2023-543854,2023-01-17,826100.0,Appartement,1.0,70.0,,3.0,,11801.0,74.0,RUE DE CLICHY,2116,75009.0,75109,Paris 9e Arrondissement,75,75109000AA0110,2.328196,48.882547
403,2023-543855,2023-01-13,326740.0,Appartement,0.0,30.0,30.8,2.0,10608.0,10891.0,55.0,RUE BICHAT,0952,75010.0,75110,Paris 10e Arrondissement,75,75110000BC0050,2.365491,48.872763
405,2023-543856,2023-01-09,405000.0,Appartement,1.0,75.0,,4.0,,5400.0,44.0,RUE MOURAUD,6610,75020.0,75120,Paris 20e Arrondissement,75,75120000DN0079,2.408815,48.855984
406,2023-543857,2023-01-05,342000.0,Appartement,0.0,27.0,26.07,2.0,13119.0,12667.0,42.0,RUE BLANCHE,1009,75009.0,75109,Paris 9e Arrondissement,75,75109000AI0006,2.331679,48.879519
407,2023-543858,2023-01-10,607200.0,Appartement,1.0,57.0,55.15,3.0,11010.0,10653.0,52.0,RUE DE LA BIDASSOA,0954,75020.0,75120,Paris 20e Arrondissement,75,75120000BW0048,2.39132,48.867729
411,2023-543859,2023-01-17,1057000.0,Appartement,2.0,84.0,84.68,3.0,12482.0,12583.0,9.0,RUE NICOLAS CHUQUET,6755,75017.0,75117,Paris 17e Arrondissement,75,75117000BU0040,2.303449,48.888218
413,2023-543860,2023-01-09,216667.0,Appartement,2.0,42.0,,2.0,,5159.0,7.0,RUE DU MONT-THABOR,6537,75001.0,75101,Paris 1er Arrondissement,75,75101000AY0011,2.328997,48.865335
415,2023-543861,2023-01-03,300000.0,Appartement,0.0,38.0,,2.0,,7895.0,19.0,RUE MARSOLLIER,6124,75002.0,75102,Paris 2e Arrondissement,75,75102000AD0135,2.335033,48.868421
417,2023-543862,2023-01-13,231600.0,Appartement,1.0,25.0,24.56,1.0,9430.0,9264.0,9.0,PAS COTTIN,2369,75018.0,75118,Paris 18e Arrondissement,75,75118000BL0027,2.345728,48.8876
418,2023-543863,2023-01-05,450000.0,Appartement,0.0,25.0,21.14,1.0,21287.0,18000.0,4.0,VLA DANCOURT,2539,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0080,2.34104,48.882971
419,2023-543864,2023-01-06,340000.0,Appartement,0.0,18.0,20.23,1.0,16807.0,18889.0,31.0,RUE DES TOURNELLES,9382,75003.0,75103,Paris 3e Arrondissement,75,75103000AN0086,2.367136,48.856147
421,2023-543865,2023-01-04,615385.0,Appartement,1.0,70.0,,2.0,,8791.0,14.0,RUE DU RUISSEAU,8436,75018.0,75118,Paris 18e Arrondissement,75,75118000BI0091,2.340208,48.892138
