,id_mutation,date_mutation,prix,type_local,nombre_dependances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_reel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
627,2023-543998,2023-01-06,137000.0,Appartement,0.0,12.0,12.07,1.0,11350.0,11417.0,25.0,AV DE SAINT-OUEN,8718,75017.0,75117,Paris 17e Arrondissement,75,75117000DL0138,2.325428,48.889551
628,2023-543999,2023-01-11,95000.0,Appartement,0.0,10.0,,1.0,,9500.0,16.0,RUE BERZELIUS,0930,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0102,2.318722,48.892625
630,2023-544002,2023-01-06,200000.0,Appartement,1.0,19.0,17.59,1.0,11370.0,10526.0,14.0,RUE TESSON,9222,75010.0,75110,Paris 10e Arrondissement,75,75110000BJ0114,2.372024,48.871116
631,2023-544003,2023-01-12,271500.0,Appartement,1.0,34.0,33.33,2.0,8146.0,7985.0,20.0,RUE DE LA CHARBONNIERE,1782,75018.0,75118,Paris 18e Arrondissement,75,75118000CH0121,2.35358,48.884592
634,2023-544004,2023-01-16,467000.0,Appartement,1.0,58.0,,2.0,,8052.0,15.0,BD DE LA CHAPELLE,1765,75010.0,75110,Paris 10e Arrondissement,75,75110000AE0019,2.362113,48.884006
636,2023-544007,2023-01-11,693450.0,Appartement,0.0,58.0,53.19,3.0,13037.0,11956.0,53.0,RUE LA FAYETTE,5240,75009.0,75109,Paris 9e Arrondissement,75,75109000AY0078,2.342089,48.87557
638,2023-544008,2023-01-11,1140500.0,Appartement,1.0,96.0,97.74,4.0,11669.0,11880.0,48.0,RUE SAINT FERDINAND,8606,75017.0,75117,Paris 17e Arrondissement,75,75117000AF0020,2.286014,48.877516
639,2023-544009,2023-01-20,498560.0,Appartement,0.0,34.0,36.13,2.0,13799.0,14664.0,9.0,RUE CHAPON,1771,75003.0,75103,Paris 3e Arrondissement,75,75103000AS0050,2.356953,48.863066
641,2023-544012,2023-01-17,530000.0,Appartement,1.0,50.0,48.13,3.0,11012.0,10600.0,18.0,RUE VOLTA,9905,75003.0,75103,Paris 3e Arrondissement,75,75103000AE0138,2.357217,48.864976
644,2023-544013,2023-01-17,252000.0,Appartement,1.0,28.0,26.0,1.0,9692.0,9000.0,14.0,RUE ETEX,3383,75018.0,75118,Paris 18e Arrondissement,75,75118000AL0017,2.328423,48.890773
646,2023-544014,2023-01-06,560000.0,Appartement,1.0,53.0,52.49,2.0,10669.0,10566.0,53.0,RUE DE LANCRY,5315,75010.0,75110,Paris 10e Arrondissement,75,75110000BD0049,2.361922,48.871806
647,2023-544015,2023-01-13,440000.0,Appartement,0.0,45.0,46.83,3.0,9396.0,9778.0,8.0,AV DES CHASSEURS,1910,75017.0,75117,Paris 17e Arrondissement,75,75117000BS0036,2.305615,48.887023
649,2023-544017,2023-01-18,1518000.0,Appartement,0.0,97.0,73.21,4.0,20735.0,15649.0,110.0,RUE VIEILLE DU TEMPLE,9783,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0020,2.363245,48.860911
651,2023-544019,2023-01-18,585000.0,Appartement,1.0,70.0,64.85,3.0,9021.0,8357.0,35.0,RUE DU BOURG TIBOURG,1209,75004.0,75104,Paris 4e Arrondissement,75,75104000AJ0037,2.356304,48.857941
653,2023-544020,2023-01-18,240850.0,Appartement,0.0,23.0,,1.0,,10472.0,9.0,RUE DU PRE ST GERVAIS,7796,75019.0,75119,Paris 19e Arrondissement,75,75119000DX0025,2.392367,48.876141
654,2023-544021,2023-01-09,200000.0,Appartement,0.0,57.0,,3.0,,3509.0,7.0,VLA COMPOINT,2257,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0187,2.324556,48.892095
655,2023-544022,2023-01-11,125000.0,Appartement,0.0,14.0,12.79,1.0,9773.0,8929.0,6.0,PAS DE CLICHY,2114,75018.0,75118,Paris 18e Arrondissement,75,75118000AP0050,2.32903,48.885016
657,2023-544023,2023-01-20,155000.0,Appartement,1.0,13.0,,1.0,,11923.0,14.0,BD MORLAND,6559,75004.0,75104,Paris 4e Arrondissement,75,75104000AS0005,2.364736,48.849273
658,2023-544024,2023-01-16,2150000.0,Appartement,0.0,96.0,119.26,3.0,18028.0,22396.0,12.0,RUE DES NONNAINS D HYERES,6811,75004.0,75104,Paris 4e Arrondissement,75,75104000AL0082,2.358859,48.854241
659,2023-544025,2023-01-12,99653.0,Appartement,0.0,28.0,27.7,1.0,3598.0,3559.0,54.0,RUE DE CLERY,2110,75002.0,75102,Paris 2e Arrondissement,75,75102000AO0187,2.348293,48.868436
660,2023-544025,2023-01-12,192187.0,Appartement,0.0,54.0,,3.0,,3559.0,54.0,RUE DE CLERY,2110,75002.0,75102,Paris 2e Arrondissement,75,75102000AO0187,2.348293,48.868436
661,2023-544026,2023-01-20,232000.0,Appartement,0.0,19.0,19.77,1.0,11735.0,12211.0,28.0,RUE DURANTIN,3029,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0064,2.336179,48.886542
662,2023-544027,2023-01-17,360000.0,Appartement,0.0,40.0,32.71,1.0,11006.0,9000.0,4.0,RUE DE L AGENT BAILLY,0090,75009.0,75109,Paris 9e Arrondissement,75,75109000BA0088,2.342284,48.878501
664,2023-544028,2023-01-12,340000.0,Appartement,1.0,30.0,29.03,1.0,11712.0,11333.0,18.0,RUE DE BRUXELLES,1345,75009.0,75109,Paris 9e Arrondissement,75,75109000AA0013,2.330692,48.883534
665,2023-544029,2023-01-19,355556.0,Appartement,1.0,64.0,64.17,3.0,5541.0,5556.0,19.0,QUAI DE L OISE,6879,75019.0,75119,Paris 19e Arrondissement,75,75119000BH0047,2.383843,48.891272
667,2023-544029,2023-01-19,144444.0,Appartement,0.0,26.0,,1.0,,5556.0,19.0,QUAI DE L OISE,6879,75019.0,75119,Paris 19e Arrondissement,75,75119000BH0047,2.383843,48.891272
668,2023-544030,2023-01-17,450000.0,Appartement,1.0,39.0,32.0,1.0,14062.0,11538.0,46.0,RUE NOTRE-DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0064,2.358064,48.867675
671,2023-544031,2023-01-17,1471081.0,Appartement,1.0,119.0,,5.0,,12362.0,77.0,RUE DE MAUBEUGE,6183,75010.0,75110,Paris 10e Arrondissement,75,75110000AB0060,2.351222,48.88036
672,2023-544032,2023-01-19,504000.0,Appartement,1.0,45.0,44.36,3.0,11362.0,11200.0,46.0,BD ROCHECHOUART,8288,75018.0,75118,Paris 18e Arrondissement,75,75118000BR0045,2.346038,48.883639
674,2023-544033,2023-01-18,219000.0,Appartement,0.0,22.0,21.54,1.0,10167.0,9955.0,152.0,RUE DAMREMONT,2534,75018.0,75118,Paris 18e Arrondissement,75,75118000AY0101,2.338516,48.896232
676,2023-544035,2023-01-13,160000.0,Appartement,0.0,16.0,15.61,1.0,10250.0,10000.0,77.0,RUE SAUSSURE,8847,75017.0,75117,Paris 17e Arrondissement,75,75117000CH0015,2.313307,48.886373
677,2023-544036,2023-01-10,201615.0,Appartement,0.0,19.0,19.06,2.0,10578.0,10611.0,173.0,RUE LEGENDRE,5473,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0149,2.325616,48.891706
681,2023-544038,2023-01-20,520000.0,Appartement,2.0,44.0,,2.0,,11818.0,73.0,RUE ALEXANDRE DUMAS,0155,75020.0,75120,Paris 20e Arrondissement,75,75120000CV0045,2.397528,48.855124
682,2023-544039,2023-01-04,285000.0,Appartement,2.0,36.0,36.28,1.0,7856.0,7917.0,74.0,RUE DES GRANDS CHAMPS,4287,75020.0,75120,Paris 20e Arrondissement,75,75120000DX0064,2.404946,48.851055
685,2023-544040,2023-01-06,85000.0,Appartement,0.0,10.0,9.8,1.0,8673.0,8500.0,83.0,BD DAVOUT,2608,75020.0,75120,Paris 20e Arrondissement,75,75120000DM0021,2.410031,48.854423
686,2023-544041,2023-01-12,660000.0,Appartement,0.0,62.0,62.3,3.0,10594.0,10645.0,12.0,AV DE WAGRAM,9933,75008.0,75108,Paris 8e Arrondissement,75,75108000AX0076,2.297017,48.87575
689,2023-544043,2023-01-20,329000.0,Appartement,1.0,38.0,37.48,2.0,8778.0,8658.0,104.0,BD DE CHARONNE,1887,75020.0,75120,Paris 20e Arrondissement,75,75120000DR0193,2.396955,48.853892
691,2023-544045,2023-01-20,480000.0,Appartement,0.0,45.0,46.72,2.0,10274.0,10667.0,50.0,RUE D ABOUKIR,0040,75002.0,75102,Paris 2e Arrondissement,75,75102000AJ0073,2.345781,48.867084
692,2023-544046,2023-01-10,1261650.0,Appartement,0.0,100.0,,4.0,,12616.0,17.0,RUE CHRISTIANI,2027,75018.0,75118,Paris 18e Arrondissement,75,75118000BS0072,2.347752,48.886097
693,2023-544047,2023-01-05,173000.0,Appartement,0.0,16.0,,1.0,,10812.0,230.0,RUE MARCADET,5995,75018.0,75118,Paris 18e Arrondissement,75,75118000AI0009,2.33174,48.892372
697,2023-544050,2023-01-11,285000.0,Appartement,1.0,33.0,32.79,2.0,8692.0,8636.0,147.0,RUE ORDENER,6918,75018.0,75118,Paris 18e Arrondissement,75,75118000AW0015,2.33897,48.893107
699,2023-544051,2023-01-20,330000.0,Appartement,1.0,26.0,30.4,2.0,10855.0,12692.0,18.0,RUE PIERRE LESCOT,7455,75001.0,75101,Paris 1er Arrondissement,75,75101000AQ0148,2.348873,48.862639
701,2023-544052,2023-01-20,570000.0,Appartement,1.0,53.0,,3.0,,10755.0,23.0,RUE DESCOMBES,2728,75017.0,75117,Paris 17e Arrondissement,75,75117000AX0063,2.291868,48.885024
702,2023-544053,2023-01-18,120000.0,Appartement,0.0,12.0,12.43,1.0,9654.0,10000.0,144.0,RUE LAMARCK,5288,75018.0,75118,Paris 18e Arrondissement,75,75118000AJ0027,2.330667,48.891146
703,2023-544054,2023-01-20,407685.0,Appartement,1.0,39.0,37.6,2.0,10843.0,10453.0,14.0,RUE RAMPAL,8016,75019.0,75119,Paris 19e Arrondissement,75,75119000EC0114,2.379914,48.873825
706,2023-544055,2023-01-16,741000.0,Appartement,2.0,140.0,114.89,4.0,6450.0,5293.0,10.0,BD DE BONNE NOUVELLE,1097,75010.0,75110,Paris 10e Arrondissement,75,75110000AW0090,2.351834,48.870244
709,2023-544057,2023-01-06,225000.0,Appartement,1.0,26.0,27.32,2.0,8236.0,8654.0,7.0,RUE BUZELIN,1396,75018.0,75118,Paris 18e Arrondissement,75,75118000DA0050,2.363596,48.890402
712,2023-544058,2023-01-20,1317000.0,Appartement,3.0,69.0,73.29,4.0,17970.0,19087.0,77.0,RUE CARDINET,1550,75017.0,75117,Paris 17e Arrondissement,75,75117000BR0074,2.309039,48.884335
715,2023-544059,2023-01-13,235000.0,Appartement,1.0,19.0,22.43,2.0,10477.0,12368.0,32.0,RUE POUCHET,7766,75017.0,75117,Paris 17e Arrondissement,75,75117000DH0004,2.320197,48.893191
717,2023-544060,2023-01-24,480000.0,Appartement,2.0,57.0,58.08,2.0,8264.0,8421.0,125.0,BD MORTIER,6568,75020.0,75120,Paris 20e Arrondissement,75,75120000AX0041,2.408031,48.873089
720,2023-544061,2023-01-17,548000.0,Appartement,1.0,88.0,88.63,4.0,6183.0,6227.0,2.0,VLA DES NYMPHEAS,6856,75020.0,75120,Paris 20e Arrondissement,75,75120000BO0011,2.407757,48.869582
721,2023-544062,2023-01-03,320000.0,Appartement,1.0,35.0,,2.0,,9143.0,9.0,IMP STE HENRIETTE,8567,75018.0,75118,Paris 18e Arrondissement,75,75118000BD0095,2.343012,48.896787
723,2023-544063,2023-01-17,1344000.0,Appartement,1.0,90.0,98.1,3.0,13700.0,14933.0,3.0,RUE DE CHAZELLES,1959,75017.0,75117,Paris 17e Arrondissement,75,75117000BL0016,2.303677,48.879787
726,2023-544064,2023-01-18,1500000.0,Appartement,1.0,110.0,,5.0,,13636.0,56.0,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,75103000AM0026,2.364751,48.858685
728,2023-544065,2023-01-19,560000.0,Appartement,1.0,51.0,51.4,2.0,10895.0,10980.0,5.0,RUE SAUSSURE,8847,75017.0,75117,Paris 17e Arrondissement,75,75117000CK0025,2.317055,48.883286
729,2023-544066,2023-01-17,1460000.0,Appartement,1.0,120.0,134.09,5.0,10888.0,12167.0,14.0,RUE LEON COGNIET,5538,75017.0,75117,Paris 17e Arrondissement,75,75117000BM0055,2.302489,48.881533
732,2023-544067,2023-01-12,714995.0,Appartement,1.0,72.0,73.27,2.0,9758.0,9930.0,17.0,RUE VERNIQUET,9695,75017.0,75117,Paris 17e Arrondissement,75,75117000BW0014,2.301209,48.888164
733,2023-544068,2023-01-09,298000.0,Appartement,1.0,29.0,30.35,2.0,9819.0,10276.0,64.0,RUE JEAN JACQUES ROUSSEAU,4901,75001.0,75101,Paris 1er Arrondissement,75,75101000AR0086,2.344032,48.864042
735,2023-544069,2023-01-24,201500.0,Appartement,1.0,25.0,25.89,2.0,7783.0,8060.0,5.0,RUE BELLOT,0847,75019.0,75119,Paris 19e Arrondissement,75,75119000AA0026,2.367616,48.8858
738,2023-544070,2023-01-24,299045.0,Appartement,1.0,34.0,31.17,2.0,9594.0,8795.0,33.0,RUE DAUTANCOURT,2597,75017.0,75117,Paris 17e Arrondissement,75,75117000DL0117,2.325066,48.890389
739,2023-544071,2023-01-12,199000.0,Appartement,0.0,20.0,19.83,1.0,10035.0,9950.0,22.0,RUE DU CAPITAINE MARCHAL,1506,75020.0,75120,Paris 20e Arrondissement,75,75120000BM0065,2.404895,48.867503
741,2023-544073,2023-01-12,491700.0,Appartement,1.0,53.0,53.88,2.0,9126.0,9277.0,284.0,RUE DES PYRENEES,7904,75020.0,75120,Paris 20e Arrondissement,75,75120000AR0074,2.394063,48.870629
742,2023-544074,2023-01-05,460800.0,Appartement,0.0,44.0,41.8,2.0,11024.0,10473.0,25.0,RUE D ENGHIEN,3284,75010.0,75110,Paris 10e Arrondissement,75,75110000AV0006,2.350792,48.871813
744,2023-544075,2023-01-13,349650.0,Appartement,1.0,36.0,,2.0,,9712.0,36.0,RUE DES VINAIGRIERS,9848,75010.0,75110,Paris 10e Arrondissement,75,75110000BC0014,2.361976,48.873324
746,2023-544076,2023-01-13,445000.0,Appartement,1.0,37.0,38.43,2.0,11579.0,12027.0,11.0,RUE CAVALLOTTI,1621,75018.0,75118,Paris 18e Arrondissement,75,75118000AO0086,2.327975,48.886238
747,2023-544077,2023-01-19,585000.0,Appartement,0.0,82.0,73.01,4.0,8013.0,7134.0,5.0,RUE GUY PATIN,4445,75010.0,75110,Paris 10e Arrondissement,75,75110000AA0014,2.35085,48.88288
748,2023-544078,2023-01-16,375000.0,Appartement,2.0,50.0,52.96,2.0,7081.0,7500.0,66.0,RUE DU POTEAU,7755,75018.0,75118,Paris 18e Arrondissement,75,75118000AX0136,2.340136,48.895486
752,2023-544079,2023-01-10,420000.0,Appartement,1.0,38.0,39.06,2.0,10753.0,11053.0,11.0,RUE CYRANO DE BERGERAC,2506,75018.0,75118,Paris 18e Arrondissement,75,75118000BK0016,2.342018,48.891121
753,2023-544080,2023-01-11,14500.0,Appartement,0.0,9.0,,1.0,,1611.0,4.0,RUE GASTON COUTE,3972,75018.0,75118,Paris 18e Arrondissement,75,75118000BM0012,2.340994,48.88906
755,2023-544081,2023-01-13,1050000.0,Appartement,1.0,46.0,51.26,2.0,20484.0,22826.0,8.0,RUE AUBRIOT,0523,75004.0,75104,Paris 4e Arrondissement,75,75104000AH0040,2.357177,48.85833
758,2023-544083,2023-01-12,280000.0,Appartement,1.0,49.0,44.6,2.0,6278.0,5714.0,58.0,RUE LETORT,5630,75018.0,75118,Paris 18e Arrondissement,75,75118000BD0074,2.344472,48.896919
759,2023-544084,2023-01-25,117000.0,Appartement,0.0,13.0,9.74,1.0,12012.0,9000.0,3.0,PAS DAGORNO,2510,75020.0,75120,Paris 20e Arrondissement,75,75120000DO0087,2.40461,48.855695
761,2023-544085,2023-01-23,120000.0,Appartement,1.0,10.0,7.4,1.0,16216.0,12000.0,30.0,RUE PIERRE SEMARD,7479,75009.0,75109,Paris 9e Arrondissement,75,75109000BE0044,2.348461,48.878804
762,2023-544086,2023-01-24,370000.0,Appartement,0.0,44.0,42.05,2.0,8799.0,8409.0,6.0,RUE ACHILLE MARTINET,0051,75018.0,75118,Paris 18e Arrondissement,75,75118000AW0075,2.337214,48.891863
764,2023-544087,2023-01-16,295082.0,Appartement,1.0,27.0,33.83,2.0,8722.0,10929.0,34.0,RUE VERON,9700,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0183,2.335522,48.885111
765,2023-544088,2023-01-24,583000.0,Appartement,0.0,60.0,,3.0,,9717.0,43.0,RUE ST LOUIS EN L ILE,8678,75004.0,75104,Paris 4e Arrondissement,75,75104000AV0076,2.35587,48.85191
766,2023-544089,2023-01-06,260000.0,Appartement,1.0,25.0,24.41,2.0,10651.0,10400.0,82.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000BD0084,2.343696,48.895968
768,2023-544090,2023-01-24,441458.0,Appartement,1.0,42.0,48.52,2.0,9098.0,10511.0,42.0,RUE ALBERT THOMAS,0131,75010.0,75110,Paris 10e Arrondissement,75,75110000BF0081,2.362613,48.870348
770,2023-544091,2023-01-20,88000.0,Appartement,0.0,11.0,10.23,1.0,8602.0,8000.0,25.0,BD DE LA VILLETTE,9838,75010.0,75110,Paris 10e Arrondissement,75,75110000BK0034,2.375067,48.873346
771,2023-544092,2023-01-10,285000.0,Appartement,0.0,42.0,25.49,2.0,11181.0,6786.0,108.0,RUE ORDENER,6918,75018.0,75118,Paris 18e Arrondissement,75,75118000BH0120,2.340802,48.89337
773,2023-544093,2023-01-06,881720.0,Appartement,1.0,67.0,64.75,4.0,13617.0,13160.0,237.0,RUE SAINT MARTIN,8694,75003.0,75103,Paris 3e Arrondissement,75,75103000AD0070,2.353042,48.8652
775,2023-544094,2023-01-24,2000000.0,Appartement,1.0,126.0,115.19,5.0,17363.0,15873.0,29.0,RUE DANIELLE CASANOVA,2543,75001.0,75101,Paris 1er Arrondissement,75,75101000AZ0035,2.331099,48.867776
776,2023-544095,2023-01-06,485000.0,Appartement,0.0,82.0,86.91,4.0,5580.0,5915.0,22.0,RUE ARCHEREAU,0415,75019.0,75119,Paris 19e Arrondissement,75,75119000AK0012,2.373077,48.8902
777,2023-544096,2023-01-13,568000.0,Appartement,1.0,60.0,48.89,2.0,11618.0,9467.0,35.0,RUE DES GRAVILLIERS,4302,75003.0,75103,Paris 3e Arrondissement,75,75103000AS0006,2.355767,48.863899
780,2023-544097,2023-01-09,1865000.0,Appartement,3.0,120.0,137.23,5.0,13590.0,15542.0,4.0,SQ MONCEY,6425,75009.0,75109,Paris 9e Arrondissement,75,75109000AB0066,2.33075,48.88046
783,2023-544098,2023-01-17,331200.0,Appartement,0.0,43.0,39.02,2.0,8488.0,7702.0,58.0,RUE DU MONT CENIS,6467,75018.0,75118,Paris 18e Arrondissement,75,75118000BK0068,2.343791,48.890897
785,2023-544099,2023-01-13,720000.0,Appartement,1.0,53.0,55.51,3.0,12971.0,13585.0,17.0,RUE DE RIVOLI,8249,75004.0,75104,Paris 4e Arrondissement,75,75104000AK0032,2.357469,48.855846
786,2023-544100,2023-01-24,114000.0,Appartement,0.0,16.0,11.83,1.0,9637.0,7125.0,144.0,RUE D AVRON,0610,75020.0,75120,Paris 20e Arrondissement,75,75120000DY0051,2.40988,48.853129
787,2023-544101,2023-01-20,500000.0,Appartement,0.0,43.0,44.23,2.0,11305.0,11628.0,100.0,RUE LEIBNIZ,5488,75018.0,75118,Paris 18e Arrondissement,75,75118000AE0032,2.328881,48.895966
789,2023-544102,2023-01-06,394300.0,Appartement,1.0,42.0,44.62,3.0,8837.0,9388.0,5.0,RUE CONSTANT BERTHAUT,2283,75020.0,75120,Paris 20e Arrondissement,75,75120000AD0036,2.389075,48.874431
790,2023-544103,2023-01-12,165500.0,Appartement,0.0,16.0,,1.0,,10344.0,12.0,RUE FROCHOT,3871,75009.0,75109,Paris 9e Arrondissement,75,75109000AE0020,2.337587,48.881665
791,2023-544104,2023-01-13,290000.0,Appartement,0.0,31.0,27.8,1.0,10432.0,9355.0,23.0,RUE DES PETITES ECURIES,7330,75010.0,75110,Paris 10e Arrondissement,75,75110000AU0009,2.351603,48.873375
792,2023-544105,2023-01-10,430000.0,Appartement,1.0,22.0,26.8,2.0,16045.0,19545.0,10.0,RUE DES LIONS SAINT PAUL,5702,75004.0,75104,Paris 4e Arrondissement,75,75104000AQ0090,2.362419,48.852588
796,2023-544106,2023-01-04,406000.0,Appartement,2.0,44.0,43.89,2.0,9250.0,9227.0,43.0,AV JEAN JAURES,4903,75019.0,75119,Paris 19e Arrondissement,75,75119000AW0003,2.374677,48.88429
798,2023-544107,2023-01-23,405000.0,Appartement,1.0,37.0,,2.0,,10946.0,43.0,RUE DU POTEAU,7755,75018.0,75118,Paris 18e Arrondissement,75,75118000BH0128,2.340946,48.894158
800,2023-544108,2023-01-20,379000.0,Appartement,2.0,53.0,,2.0,,7151.0,75.0,RUE PHILIPPE DE GIRARD,7385,75018.0,75118,Paris 18e Arrondissement,75,75118000DD0009,2.360514,48.887435
802,2023-544109,2023-01-06,519000.0,Appartement,1.0,42.0,,2.0,,12357.0,17.0,RUE DE BRUXELLES,1345,75009.0,75109,Paris 9e Arrondissement,75,75109000AA0100,2.328946,48.882771
805,2023-544110,2023-01-20,342000.0,Appartement,1.0,26.0,,2.0,,13154.0,142.0,RUE MARCADET,5995,75018.0,75118,Paris 18e Arrondissement,75,75118000AW0049,2.338977,48.891389
807,2023-544112,2023-01-13,190000.0,Appartement,1.0,23.0,23.12,2.0,8218.0,8261.0,238.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AH0005,2.328356,48.893535
809,2023-544113,2023-01-19,260000.0,Appartement,1.0,28.0,,2.0,,9286.0,14.0,RUE STE ISAURE,8569,75018.0,75118,Paris 18e Arrondissement,75,75118000BH0069,2.34443,48.893596
811,2023-544114,2023-01-20,500000.0,Appartement,0.0,38.0,,2.0,,13158.0,14.0,RUE CONSTANCE,2281,75018.0,75118,Paris 18e Arrondissement,75,75118000AQ0085,2.333784,48.885757
814,2023-544117,2023-01-06,400000.0,Appartement,0.0,47.0,,2.0,,8511.0,180.0,RUE LA FAYETTE,5240,75010.0,75110,Paris 10e Arrondissement,75,75110000AG0052,2.362599,48.880562
816,2023-544119,2023-01-24,855000.0,Appartement,1.0,78.0,70.89,3.0,12061.0,10962.0,16.0,RUE DU PARC ROYAL,7061,75003.0,75103,Paris 3e Arrondissement,75,75103000AM0105,2.362974,48.859331
817,2023-544121,2023-01-09,590000.0,Appartement,3.0,67.0,,3.0,,8806.0,62.0,RUE PIXERECOURT,7504,75020.0,75120,Paris 20e Arrondissement,75,75120000AT0019,2.396897,48.873688
821,2023-544122,2023-01-11,815500.0,Appartement,2.0,84.0,,4.0,,9708.0,73.0,RUE DES VIGNOLES,9802,75020.0,75120,Paris 20e Arrondissement,75,75120000CW0063,2.401921,48.855866
824,2023-544124,2023-01-12,170000.0,Appartement,0.0,32.0,,2.0,,5312.0,1.0,RUE DU RETRAIT,8172,75020.0,75120,Paris 20e Arrondissement,75,75120000CC0027,2.395944,48.867599
826,2023-544126,2023-01-13,235000.0,Appartement,0.0,32.0,,2.0,,7344.0,146.0,AV DE SAINT OUEN,8718,75018.0,75118,Paris 18e Arrondissement,75,75118000AE0010,2.329355,48.896772
827,2023-544127,2023-01-20,105000.0,Appartement,0.0,9.0,8.8,0.0,11932.0,11667.0,131.0,BD PEREIRE,7258,75017.0,75117,Paris 17e Arrondissement,75,75117000BG0008,2.296379,48.88413
828,2023-544128,2023-01-11,450000.0,Appartement,0.0,40.0,,2.0,,11250.0,50.0,RUE D ABOUKIR,0040,75002.0,75102,Paris 2e Arrondissement,75,75102000AJ0073,2.345781,48.867084
830,2023-544129,2023-01-18,490000.0,Appartement,2.0,55.0,49.27,2.0,9945.0,8909.0,110.0,BD MALESHERBES,5951,75017.0,75117,Paris 17e Arrondissement,75,75117000BQ0032,2.309764,48.8838
833,2023-544130,2023-01-18,482000.0,Appartement,1.0,48.0,47.55,3.0,10137.0,10042.0,32.0,RUE LANTIEZ,5329,75017.0,75117,Paris 17e Arrondissement,75,75117000DN0158,2.324192,48.895084
834,2023-544131,2023-01-09,228000.0,Appartement,0.0,35.0,27.98,2.0,8149.0,6514.0,11.0,RUE JOSEPH DIJON,5012,75018.0,75118,Paris 18e Arrondissement,75,75118000BG0105,2.346519,48.893843
835,2023-544132,2023-01-12,478000.0,Appartement,1.0,36.0,36.28,2.0,13175.0,13278.0,13.0,RUE CLAUDE POUILLET,2082,75017.0,75117,Paris 17e Arrondissement,75,75117000CJ0023,2.314847,48.883784
837,2023-544133,2023-01-18,274470.0,Appartement,2.0,28.0,29.55,1.0,9288.0,9802.0,91.0,RUE DES PYRENEES,7904,75020.0,75120,Paris 20e Arrondissement,75,75120000DO0105,2.405032,48.854404
841,2023-544134,2023-01-17,424160.0,Appartement,2.0,47.0,47.2,3.0,8986.0,9025.0,10.0,RUE JACQUES KELLNER,4796,75017.0,75117,Paris 17e Arrondissement,75,75117000DQ0229,2.327299,48.896046
846,2023-544136,2023-01-20,282000.0,Appartement,1.0,25.0,26.53,2.0,10629.0,11280.0,27.0,RUE SIMART,8976,75018.0,75118,Paris 18e Arrondissement,75,75118000BJ0080,2.347296,48.890975
848,2023-544137,2023-01-12,484950.0,Appartement,1.0,40.0,35.43,2.0,13688.0,12124.0,4.0,RUE BURQ,1392,75018.0,75118,Paris 18e Arrondissement,75,75118000AS0138,2.336328,48.885747
852,2023-544139,2023-01-12,239000.0,Appartement,1.0,40.0,40.32,2.0,5928.0,5975.0,147.0,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,75103000AE0167,2.358162,48.864207
853,2023-544141,2023-01-24,3270000.0,Appartement,1.0,227.0,,6.0,,14405.0,85.0,BD DE COURCELLES,2386,75008.0,75108,Paris 8e Arrondissement,75,75108000AY0016,2.300027,48.877899
855,2023-544142,2023-01-11,576300.0,Appartement,1.0,61.0,61.03,3.0,9443.0,9448.0,210.0,RUE DU FBG SAINT DENIS,3516,75010.0,75110,Paris 10e Arrondissement,75,75110000AH0017,2.359535,48.882533
857,2023-544143,2023-01-19,282000.0,Appartement,0.0,33.0,30.6,3.0,9216.0,8545.0,40.0,RUE DES DAMES,2523,75017.0,75117,Paris 17e Arrondissement,75,75117000CO0012,2.323139,48.884339
858,2023-544144,2023-01-10,285000.0,Appartement,0.0,32.0,,2.0,,8906.0,5.0,RUE PIERRE CHAUSSON,7422,75010.0,75110,Paris 10e Arrondissement,75,75110000BF0006,2.360147,48.870754
859,2023-544145,2023-01-18,197700.0,Appartement,0.0,27.0,21.46,2.0,9212.0,7322.0,87.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000BE0042,2.342762,48.895607
861,2023-544146,2023-01-11,375000.0,Appartement,1.0,46.0,,2.0,,8152.0,4.0,PAS DES ABBESSES,0018,75018.0,75118,Paris 18e Arrondissement,75,75118000BO0145,2.338226,48.884808
862,2023-544147,2023-01-20,300000.0,Appartement,0.0,26.0,23.8,1.0,12605.0,11538.0,112.0,RUE LAMARCK,5288,75018.0,75118,Paris 18e Arrondissement,75,75118000AV0013,2.334862,48.890651
864,2023-544149,2023-01-10,527000.0,Appartement,0.0,45.0,40.14,2.0,13129.0,11711.0,30.0,RUE DES GRAVILLIERS,4302,75003.0,75103,Paris 3e Arrondissement,75,75103000AE0089,2.356597,48.864173
